timestep,mean,std,mean_plus_std,mean_minus_std,ci_upper,ci_lower
0,1663.0707,51.7712,1714.8419,1611.2994,1673.2178,1652.9236
1,2495.7395,43.778862,2539.5183,2451.9607,2504.32,2487.159
2,3337.729,69.20275,3406.9316,3268.5264,3351.2927,3324.1653
3,4193.554,106.97506,4300.5293,4086.579,4214.5215,4172.587
4,5059.6567,148.95331,5208.61,4910.7036,5088.8516,5030.462
5,5938.158,192.39337,6130.552,5745.7646,5975.867,5900.449
6,6827.9927,237.337,7065.3296,6590.656,6874.5107,6781.4746
7,7729.5845,282.97345,8012.558,7446.611,7785.0474,7674.1216
8,8640.673,329.2446,8969.917,8311.429,8705.205,8576.141
9,9562.572,377.1295,9939.702,9185.442,9636.489,9488.655
10,10496.138,426.34384,10922.481,10069.794,10579.701,10412.574
11,11441.519,477.55264,11919.071,10963.966,11535.119,11347.918
12,12399.062,530.3801,12929.441,11868.682,12503.016,12295.107
13,13370.551,583.84766,13954.398,12786.703,13484.985,13256.116
14,14354.62,638.6321,14993.252,13715.988,14479.792,14229.448
15,15354.018,694.73114,16048.749,14659.286,15490.185,15217.851
16,16367.714,754.42523,17122.139,15613.289,16515.582,16219.847
17,17395.307,813.1195,18208.426,16582.188,17554.678,17235.936
18,18441.55,872.723,19314.273,17568.828,18612.605,18270.496
19,19503.125,935.301,20438.426,18567.824,19686.443,19319.807
20,20582.43,999.281,21581.71,19583.148,20778.29,20386.57
21,21680.18,1065.2465,22745.426,20614.934,21888.969,21471.39
22,22794.617,1133.1656,23927.783,21661.451,23016.717,22572.518
23,23928.912,1200.754,25129.666,22728.158,24164.26,23693.564
24,25083.2,1271.5038,26354.703,23811.695,25332.414,24833.984
25,26257.627,1346.965,27604.592,24910.662,26521.633,25993.621
26,27452.016,1422.177,28874.193,26029.838,27730.762,27173.27
27,28668.03,1500.6968,30168.727,27167.332,28962.166,28373.893
28,29902.467,1583.0994,31485.566,28319.367,30212.754,29592.18
29,31158.182,1667.4939,32825.676,29490.688,31485.01,30831.354
30,32435.133,1752.9059,34188.04,30682.227,32778.703,32091.562
31,33734.016,1838.5378,35572.555,31895.479,34094.367,33373.664
32,35056.36,1927.8575,36984.22,33128.5,35434.22,34678.5
33,36402.195,2016.3265,38418.523,34385.867,36797.395,36006.996
34,37767.395,2105.5618,39872.957,35661.832,38180.086,37354.703
35,39154.223,2196.7976,41351.02,36957.426,39584.797,38723.65
36,40562.234,2290.7612,42852.996,38271.473,41011.223,40113.246
37,41992.86,2382.9788,44375.84,39609.88,42459.92,41525.797
38,43445.316,2474.2224,45919.54,40971.094,43930.266,42960.367
39,44918.88,2567.1292,47486.008,42351.75,45422.035,44415.723
40,46413.73,2660.841,49074.57,43752.89,46935.254,45892.207
41,47932.426,2755.8389,50688.266,45176.586,48472.57,47392.28
42,49473.15,2850.7153,52323.863,46622.434,50031.89,48914.406
43,51038.44,2943.2424,53981.684,48095.2,51615.316,50461.566
44,52626.73,3039.535,55666.266,49587.195,53222.48,52030.98
45,54243.047,3133.5002,57376.547,51109.547,54857.215,53628.88
46,55883.33,3228.243,59111.57,52655.086,56516.062,55250.594
47,57552.094,3324.6963,60876.79,54227.4,58203.734,56900.453
48,59250.51,3421.8772,62672.39,55828.633,59921.2,58579.824
49,60979.16,3520.057,64499.22,57459.1,61669.09,60289.23
50,62738.395,3621.3752,66359.77,59117.02,63448.184,62028.605
51,64530.94,3720.4817,68251.42,60810.46,65260.156,63801.727
52,66358.1,3823.0293,70181.13,62535.07,67107.414,65608.79
53,68220.91,3926.1206,72147.02,64294.785,68990.43,67451.38
54,70122.484,4028.9604,74151.445,66093.52,70912.164,69332.805
55,72068.12,4136.1567,76204.27,67931.96,72878.805,71257.43
56,74058.805,4244.297,78303.1,69814.51,74890.69,73226.92
57,76099.59,4355.462,80455.055,71744.13,76953.266,75245.92
58,78194.695,4467.653,82662.35,73727.04,79070.35,77319.04
59,80346.21,4582.163,84928.375,75764.05,81244.31,79448.11
60,82560.54,4698.3936,87258.93,77862.15,83481.42,81639.66
61,84840.5,4812.979,89653.48,80027.52,85783.84,83897.16
62,87190.64,4932.2227,92122.86,82258.42,88157.36,86223.92
63,89619.23,5053.191,94672.414,84566.04,90609.65,88628.805
64,92128.71,5174.3545,97303.06,86954.36,93142.88,91114.54
65,94725.01,5294.355,100019.36,89430.66,95762.7,93687.31
66,97421.19,5413.114,102834.305,92008.07,98482.16,96360.22
67,100219.1,5533.4224,105752.52,94685.68,101303.66,99134.55
68,103128.16,5653.8765,108782.03,97474.28,104236.31,102020.0
69,106158.93,5771.3906,111930.32,100387.54,107290.125,105027.734
70,109318.24,5888.12,115206.36,103430.125,110472.31,108164.17
71,112616.95,6002.3677,118619.32,106614.586,113793.414,111440.49
72,116064.72,6112.49,122177.21,109952.23,117262.766,114866.67
73,119672.57,6223.0093,125895.58,113449.56,120892.28,118452.86
74,123452.82,6336.1772,129789.0,117116.64,124694.71,122210.93
75,127415.56,6447.2793,133862.84,120968.28,128679.23,126151.9
76,131574.1,6558.39,138132.48,125015.7,132859.53,130288.65
77,135935.66,6673.008,142608.66,129262.65,137243.56,134627.75
78,140529.17,6790.288,147319.45,133738.89,141860.06,139198.28
79,145372.14,6904.783,152276.92,138467.36,146725.48,144018.8
80,150484.27,7017.5757,157501.84,143466.69,151859.7,149108.83
81,155888.52,7125.1753,163013.69,148763.34,157285.05,154491.98
82,161615.33,7224.6514,168839.98,154390.67,163031.36,160199.3
83,167696.6,7317.3354,175013.92,160379.27,169130.8,166262.39
84,174163.08,7394.5317,181557.61,166768.55,175612.4,172713.75
85,181058.78,7454.9155,188513.7,173603.86,182519.94,179597.62
86,188415.69,7486.159,195901.84,180929.53,189882.97,186948.4
87,196297.45,7485.186,203782.64,188812.27,197764.55,194830.36
88,204769.4,7438.0894,212207.5,197331.31,206227.27,203311.55
89,213911.81,7360.141,221271.95,206551.67,215354.4,212469.22
90,223872.81,7269.2705,231142.08,216603.55,225297.6,222448.03
91,234830.56,7209.536,242040.1,227621.03,236243.62,233417.5
92,246978.86,7219.109,254197.97,239759.75,248393.81,245563.9
93,260524.31,7348.4883,267872.8,253175.83,261964.61,259084.02
94,275730.38,7688.177,283418.56,268042.2,277237.25,274223.5
95,292966.9,8305.087,301272.0,284661.8,294594.72,291339.1
96,312807.53,9366.805,322174.34,303440.72,314643.44,310971.62
97,336272.44,11046.444,347318.88,325226.0,338437.53,334107.34
98,365305.72,13726.724,379032.44,351579.0,367996.16,362615.28
99,403400.7,18448.11,421848.8,384952.56,407016.53,399784.84
