timestep,mean,std,mean_plus_std,mean_minus_std,ci_upper,ci_lower
0,1652.6472,44.785442,1697.4326,1607.8618,1661.4252,1643.8693
1,2460.6963,51.074966,2511.7712,2409.6213,2470.707,2450.6855
2,3282.7634,83.92661,3366.69,3198.837,3299.2131,3266.3137
3,4118.852,123.50849,4242.3604,3995.3435,4143.0596,4094.6443
4,4967.2983,164.23123,5131.53,4803.067,4999.488,4935.109
5,5829.055,207.08284,6036.138,5621.972,5869.6436,5788.467
6,6702.2183,252.49034,6954.7085,6449.728,6751.7065,6652.73
7,7587.4795,297.73428,7885.214,7289.745,7645.8354,7529.1235
8,8483.476,343.93988,8827.415,8139.5356,8550.888,8416.063
9,9391.086,390.76666,9781.853,9000.319,9467.676,9314.496
10,10310.406,437.1882,10747.595,9873.218,10396.095,10224.718
11,11242.225,484.44434,11726.669,10757.78,11337.176,11147.273
12,12185.494,532.9889,12718.483,11652.505,12289.96,12081.028
13,13141.039,582.8972,13723.937,12558.142,13255.287,13026.791
14,14109.273,633.6606,14742.934,13475.613,14233.471,13985.076
15,15091.558,685.4567,15777.015,14406.101,15225.907,14957.208
16,16089.41,737.81836,16827.229,15351.592,16234.022,15944.798
17,17103.877,792.0793,17895.957,16311.798,17259.125,16948.629
18,18133.652,847.4103,18981.062,17286.242,18299.744,17967.56
19,19182.033,905.15875,20087.191,18276.875,19359.443,19004.623
20,20247.445,962.1518,21209.598,19285.293,20436.027,20058.863
21,21331.01,1023.4207,22354.43,20307.59,21531.6,21130.42
22,22431.318,1086.3612,23517.68,21344.957,22644.246,22218.39
23,23551.783,1148.8314,24700.615,22402.951,23776.955,23326.611
24,24689.66,1211.9362,25901.596,23477.725,24927.2,24452.121
25,25847.92,1275.91,27123.83,24572.01,26097.998,25597.842
26,27025.875,1343.1311,28369.006,25682.744,27289.129,26762.621
27,28223.305,1410.9374,29634.242,26812.367,28499.848,27946.762
28,29439.473,1479.298,30918.771,27960.174,29729.416,29149.53
29,30675.332,1550.3107,32225.643,29125.021,30979.193,30371.47
30,31931.445,1623.262,33554.707,30308.184,32249.605,31613.285
31,33208.496,1696.8137,34905.31,31511.682,33541.07,32875.92
32,34505.574,1770.8342,36276.41,32734.74,34852.656,34158.492
33,35821.227,1846.9508,37668.176,33974.277,36183.23,35459.223
34,37156.145,1922.9349,39079.08,35233.21,37533.04,36779.25
35,38513.66,1999.7235,40513.383,36513.938,38905.605,38121.715
36,39890.05,2076.5337,41966.586,37813.516,40297.05,39483.05
37,41287.016,2155.18,43442.195,39131.836,41709.43,40864.6
38,42704.914,2236.2466,44941.16,40468.668,43143.22,42266.61
39,44143.76,2315.0913,46458.85,41828.67,44597.52,43690.004
40,45608.195,2393.1177,48001.312,43215.08,46077.246,45139.145
41,47094.477,2473.768,49568.246,44620.707,47579.336,46609.617
42,48603.727,2555.5586,51159.285,46048.168,49104.617,48102.836
43,50138.86,2634.0044,52772.863,47504.855,50655.125,49622.594
44,51698.7,2713.3599,54412.06,48985.34,52230.52,51166.88
45,53285.094,2793.9854,56079.08,50491.11,53832.715,52737.473
46,54899.844,2874.1526,57773.996,52025.69,55463.176,54336.51
47,56543.19,2953.564,59496.754,53589.63,57122.09,55964.293
48,58216.68,3034.1785,61250.86,55182.5,58811.38,57621.98
49,59923.24,3116.793,63040.03,56806.445,60534.13,59312.348
50,61661.39,3198.89,64860.28,58462.5,62288.375,61034.406
51,63433.887,3281.7786,66715.664,60152.11,64077.117,62790.656
52,65243.74,3364.3538,68608.09,61879.383,65903.15,64584.324
53,67094.24,3447.0354,70541.28,63647.207,67769.86,66418.625
54,68986.47,3527.9014,72514.37,65458.566,69677.94,68295.0
55,70923.72,3609.3916,74533.11,67314.33,71631.16,70216.28
56,72909.01,3690.9036,76599.914,69218.1,73632.42,72185.59
57,74944.914,3774.1501,78719.06,71170.766,75684.65,74205.18
58,77036.72,3855.2402,80891.96,73181.48,77792.34,76281.09
59,79186.37,3937.121,83123.484,75249.25,79958.04,78414.695
60,81399.69,4018.0728,85417.76,77381.62,82187.23,80612.15
61,83676.57,4100.766,87777.336,79575.805,84480.32,82872.82
62,86024.18,4183.4663,90207.65,81840.71,86844.14,85204.22
63,88449.02,4267.637,92716.664,84181.38,89285.48,87612.57
64,90953.29,4349.628,95302.914,86603.664,91805.81,90100.766
65,93542.51,4430.242,97972.75,89112.266,94410.836,92674.18
