timestep,mean,std,mean_plus_std,mean_minus_std,ci_upper,ci_lower
0,2462.357,204.9141,2667.271,2257.4429,2502.52,2422.1938
1,3249.7844,205.27051,3455.055,3044.514,3290.0173,3209.5515
2,4052.903,208.8717,4261.775,3844.0312,4093.842,4011.964
3,4870.4673,215.79803,5086.265,4654.6694,4912.7637,4828.171
4,5702.6934,225.8554,5928.549,5476.838,5746.961,5658.426
5,6547.9863,238.96712,6786.9536,6309.019,6594.8237,6501.149
6,7406.457,253.52864,7659.986,7152.928,7456.1484,7356.7656
7,8279.057,271.9399,8550.996,8007.1167,8332.356,8225.757
8,9163.365,291.80045,9455.166,8871.564,9220.559,9106.172
9,10059.328,311.58725,10370.915,9747.741,10120.399,9998.257
10,10967.572,333.93842,11301.511,10633.634,11033.024,10902.12
11,11885.559,358.5051,12244.063,11527.054,11955.825,11815.292
12,12816.483,384.43933,13200.923,12432.044,12891.834,12741.133
13,13757.003,409.0716,14166.074,13347.932,13837.181,13676.825
14,14708.104,438.09955,15146.203,14270.004,14793.971,14622.236
15,15669.884,466.92703,16136.811,15202.957,15761.401,15578.366
16,16639.004,497.54053,17136.545,16141.463,16736.521,16541.486
17,17615.52,527.83936,18143.36,17087.68,17718.977,17512.062
18,18599.87,555.40155,19155.271,18044.467,18708.729,18491.01
19,19591.07,588.24554,20179.316,19002.824,19706.367,19475.773
20,20587.95,621.45074,21209.4,19966.498,20709.754,20466.145
21,21588.348,655.8253,22244.174,20932.521,21716.889,21459.807
22,22586.842,689.1161,23275.957,21897.727,22721.908,22451.775
23,23587.285,724.79346,24312.078,22862.492,23729.344,23445.227
24,24583.342,762.5619,25345.904,23820.78,24732.805,24433.879
25,25575.867,799.02185,26374.889,24776.846,25732.475,25419.26
26,26567.512,844.4202,27411.932,25723.092,26733.018,26402.006
27,27558.785,889.5742,28448.36,26669.21,27733.143,27384.428
28,28548.438,934.3121,29482.75,27614.125,28731.562,28365.312
29,29534.244,987.18536,30521.43,28547.059,29727.732,29340.756
30,30506.662,1047.4492,31554.111,29459.213,30711.963,30301.361
31,31480.723,1108.4265,32589.148,30372.297,31697.975,31263.47
32,32436.12,1168.859,33604.977,31267.26,32665.215,32207.023
33,33389.49,1238.4172,34627.906,32151.07,33632.22,33146.758
34,34330.54,1323.2114,35653.75,33007.33,34589.887,34071.19
35,35251.727,1400.0918,36651.82,33851.633,35526.145,34977.31
36,36150.438,1488.3839,37638.82,34662.055,36442.16,35858.715
37,37033.55,1595.1792,38628.73,35438.37,37346.207,36720.895
38,37919.707,1686.8185,39606.527,36232.887,38250.324,37589.09
39,38760.285,1794.402,40554.688,36965.883,39111.99,38408.582
40,39576.5,1924.186,41500.688,37652.312,39953.64,39199.36
41,40383.87,2057.8604,42441.73,38326.01,40787.21,39980.53
42,41166.01,2200.0803,43366.094,38965.93,41597.227,40734.797
43,41942.08,2363.9937,44306.07,39578.086,42405.42,41478.734
44,42683.7,2542.6614,45226.36,40141.04,43182.062,42185.336
45,43397.164,2729.217,46126.383,40667.945,43932.09,42862.24
46,44101.86,2927.028,47028.887,41174.832,44675.56,43528.16
47,44799.113,3137.1018,47936.215,41662.01,45413.984,44184.242
48,45485.59,3355.2422,48840.832,42130.348,46143.22,44827.96
49,46155.066,3581.202,49736.27,42573.863,46856.98,45453.152
50,46853.48,3790.0535,50643.535,43063.426,47596.332,46110.63
51,47507.15,4023.5183,51530.668,43483.63,48295.758,46718.54
52,48153.99,4273.7495,52427.74,43880.24,48991.645,47316.332
53,48770.477,4532.521,53302.996,44237.957,49658.85,47882.1
54,49403.164,4796.8936,54200.06,44606.27,50343.355,48462.973
55,50030.754,5103.6953,55134.45,44927.06,51031.08,49030.43
56,50680.38,5419.32,56099.7,45261.06,51742.566,49618.19
57,51306.93,5720.393,57027.324,45586.535,52428.125,50185.734
58,51939.754,6037.5063,57977.26,45902.246,53123.105,50756.402
59,52609.977,6379.9927,58989.97,46229.984,53860.457,51359.496
60,53295.895,6739.0063,60034.902,46556.887,54616.74,51975.05
61,53959.703,7146.07,61105.773,46813.633,55360.332,52559.074
62,54684.484,7540.492,62224.977,47143.992,56162.42,53206.547
63,55404.465,8006.685,63411.15,47397.78,56973.773,53835.156
64,56149.93,8465.571,64615.5,47684.36,57809.18,54490.68
65,56946.23,8930.974,65877.2,48015.258,58696.703,55195.758
66,57761.305,9467.62,67228.92,48293.684,59616.957,55905.652
67,58609.74,10023.743,68633.484,48585.996,60574.39,56645.086
68,59515.805,10580.06,70095.87,48935.746,61589.496,57442.113
69,60473.21,11156.205,71629.414,49317.008,62659.83,58286.594
70,61494.875,11750.701,73245.58,49744.17,63798.01,59191.74
71,62584.29,12353.091,74937.38,50231.2,65005.496,60163.082
72,63712.266,13050.426,76762.69,50661.84,66270.15,61154.383
73,64951.727,13784.675,78736.4,51167.05,67653.52,62249.93
74,66270.29,14518.076,80788.37,51752.21,69115.83,63424.746
75,67703.42,15316.643,83020.06,52386.78,70705.484,64701.36
76,69262.34,16123.752,85386.09,53138.594,72422.6,66102.086
77,70965.42,16952.984,87918.41,54012.438,74288.2,67642.64
78,72833.26,17828.81,90662.07,55004.445,76327.7,69338.81
79,74861.39,18738.94,93600.33,56122.453,78534.23,71188.555
80,77063.55,19718.46,96782.01,57345.086,80928.37,73198.73
81,79477.6,20715.486,100193.086,58762.117,83537.836,75417.37
82,82150.35,21735.031,103885.38,60415.32,86410.42,77890.28
83,85059.29,22777.701,107836.99,62281.586,89523.72,80594.86
84,88248.13,23835.617,112083.75,64412.516,92919.914,83576.35
85,91759.32,24903.635,116662.95,66855.69,96640.43,86878.21
86,95570.88,26007.812,121578.695,69563.07,100668.414,90473.35
87,99731.27,27076.258,126807.53,72655.016,105038.22,94424.33
88,104252.61,28153.428,132406.03,76099.18,109770.68,98734.54
89,109210.77,29195.762,138406.53,80015.016,114933.14,103488.41
90,114674.47,30222.576,144897.05,84451.89,120598.09,108750.84
91,120688.36,31316.11,152004.47,89372.25,126826.32,114550.4
92,127416.29,32391.654,159807.94,95024.63,133765.05,121067.52
93,135000.97,33495.473,168496.44,101505.5,141566.08,128435.86
94,143613.61,34645.492,178259.1,108968.12,150404.12,136823.1
95,153505.25,35856.586,189361.84,117648.664,160533.14,146477.36
96,165072.16,37134.582,202206.73,127937.58,172350.53,157793.78
97,178757.73,38643.42,217401.16,140114.31,186331.84,171183.62
98,195219.14,40549.594,235768.73,154669.55,203166.86,187271.42
99,215297.45,43147.68,258445.12,172149.78,223754.4,206840.5
