timestep,mean,std,mean_plus_std,mean_minus_std,ci_upper,ci_lower
0,2460.0645,335.32794,2795.3923,2124.7366,2525.7888,2394.34
1,3244.3184,341.3659,3585.6843,2902.9524,3311.226,3177.4106
2,4045.14,352.24692,4397.3867,3692.893,4114.18,3976.0996
3,4862.4434,367.20944,5229.653,4495.234,4934.4165,4790.47
4,5694.052,387.03976,6081.0913,5307.012,5769.9116,5618.192
5,6539.8877,410.90408,6950.792,6128.9834,6620.425,6459.3506
6,7399.4243,436.23492,7835.659,6963.1895,7484.9263,7313.9224
7,8269.956,461.36792,8731.324,7808.588,8360.384,8179.528
8,9152.222,486.37277,9638.595,8665.849,9247.551,9056.893
9,10048.869,511.70218,10560.571,9537.167,10149.163,9948.575
10,10957.809,536.68933,11494.498,10421.119,11063.0,10852.617
11,11877.544,558.73615,12436.28,11318.808,11987.057,11768.031
12,12807.1,582.60034,13389.7,12224.499,12921.289,12692.91
13,13750.025,603.32654,14353.352,13146.699,13868.277,13631.773
14,14703.519,622.90735,15326.426,14080.611,14825.608,14581.429
15,15664.124,640.437,16304.561,15023.6875,15789.649,15538.599
16,16636.018,659.7296,17295.748,15976.288,16765.324,16506.71
17,17617.943,677.67236,18295.615,16940.271,17750.768,17485.12
18,18610.375,696.9342,19307.309,17913.441,18746.975,18473.775
19,19612.838,711.7242,20324.562,18901.113,19752.336,19473.34
20,20631.703,727.91425,21359.617,19903.79,20774.375,20489.031
21,21655.738,741.6411,22397.379,20914.098,21801.1,21510.377
22,22687.822,763.14343,23450.965,21924.68,22837.398,22538.246
23,23728.06,777.2044,24505.266,22950.855,23880.393,23575.729
24,24778.748,793.37555,25572.123,23985.373,24934.25,24623.246
25,25836.783,809.2901,26646.074,25027.492,25995.404,25678.162
26,26898.357,824.3732,27722.73,26073.984,27059.936,26736.78
27,27971.97,843.7373,28815.707,27128.234,28137.344,27806.598
28,29043.31,860.3933,29903.703,28182.918,29211.947,28874.674
29,30119.047,875.1396,30994.186,29243.908,30290.574,29947.52
30,31202.33,894.2523,32096.582,30308.078,31377.604,31027.057
31,32290.13,925.3517,33215.484,31364.78,32471.5,32108.762
32,33370.97,949.70795,34320.676,32421.262,33557.113,33184.824
33,34465.28,976.1602,35441.44,33489.12,34656.61,34273.953
34,35543.47,1006.7135,36550.184,34536.754,35740.785,35346.152
35,36626.88,1046.402,37673.28,35580.477,36831.973,36421.785
36,37710.664,1102.6,38813.266,36608.062,37926.773,37494.555
37,38783.953,1172.0741,39956.027,37611.88,39013.68,38554.227
38,39852.297,1247.1768,41099.473,38605.12,40096.742,39607.85
39,40921.484,1332.06,42253.543,39589.426,41182.566,40660.402
40,41968.477,1407.247,43375.723,40561.23,42244.297,41692.656
41,43001.22,1492.1171,44493.336,41509.1,43293.67,42708.766
42,44030.453,1574.045,45604.5,42456.406,44338.965,43721.94
43,45031.75,1680.0396,46711.79,43351.71,45361.04,44702.46
44,46017.73,1766.3589,47784.09,44251.37,46363.938,45671.523
45,46996.4,1883.3563,48879.754,45113.043,47365.535,46627.26
46,48003.56,1970.9661,49974.523,46032.594,48389.867,47617.25
47,48983.137,2048.3218,51031.457,46934.816,49384.61,48581.664
48,49992.9,2131.0403,52123.938,47861.86,50410.582,49575.215
49,50976.37,2269.2568,53245.63,48707.113,51421.145,50531.598
50,51933.594,2410.8994,54344.492,49522.695,52406.13,51461.06
51,52875.266,2590.153,55465.418,50285.113,53382.938,52367.594
52,53789.863,2726.381,56516.246,51063.48,54324.234,53255.492
53,54693.32,2888.4463,57581.766,51804.875,55259.457,54127.184
54,55610.645,3109.842,58720.49,52500.8,56220.17,55001.117
55,56487.18,3340.388,59827.566,53146.793,57141.895,55832.465
56,57343.297,3562.1965,60905.492,53781.1,58041.49,56645.105
57,58136.863,3744.3772,61881.242,54392.484,58870.76,57402.965
58,58864.05,3919.2139,62783.266,54944.836,59632.215,58095.887
59,59445.477,4226.408,63671.883,55219.07,60273.85,58617.1
60,59999.125,4621.6104,64620.734,55377.516,60904.96,59093.29
61,60592.574,5046.0083,65638.586,55546.566,61581.594,59603.555
62,61244.324,5470.303,66714.625,55774.02,62316.504,60172.145
63,61904.203,5897.3706,67801.57,56006.832,63060.086,60748.32
