timestep,mean,std,mean_plus_std,mean_minus_std,ci_upper,ci_lower
0,1627.9994,47.552258,1675.5516,1580.4471,1637.3196,1618.6792
1,2468.4026,55.254223,2523.6567,2413.1484,2479.2324,2457.5728
2,3321.3713,133.50697,3454.8784,3187.8643,3347.5388,3295.2039
3,4186.555,217.47858,4404.0337,3969.0767,4229.181,4143.929
4,5064.2305,301.44073,5365.6714,4762.7896,5123.313,5005.148
5,5951.478,386.42456,6337.9023,5565.0537,6027.2173,5875.739
6,6852.5127,473.1465,7325.659,6379.366,6945.2495,6759.776
7,7764.701,560.7003,8325.401,7204.001,7874.5986,7654.8037
8,8688.831,649.80475,9338.636,8039.0264,8816.192,8561.47
9,9625.522,739.0497,10364.572,8886.473,9770.376,9480.669
10,10574.657,829.21704,11403.874,9745.44,10737.184,10412.131
11,11536.55,922.6159,12459.166,10613.934,11717.383,11355.717
12,12511.773,1016.72064,13528.494,11495.053,12711.051,12312.496
13,13499.173,1113.6248,14612.798,12385.548,13717.443,13280.902
14,14500.104,1212.05,15712.153,13288.054,14737.665,14262.542
15,15512.803,1312.234,16825.037,14200.568,15770.001,15255.6045
16,16539.943,1413.9681,17953.912,15125.976,16817.082,16262.806
17,17582.926,1516.0227,19098.95,16066.903,17880.066,17285.785
18,18642.408,1620.8945,20263.303,17021.514,18960.104,18324.713
19,19717.44,1729.598,21447.037,17987.842,20056.441,19378.438
20,20807.332,1840.2222,22647.555,18967.11,21168.016,20446.648
21,21914.426,1954.4501,23868.875,19959.977,22297.498,21531.354
22,23038.627,2072.997,25111.625,20965.629,23444.934,22632.32
23,24180.627,2191.941,26372.568,21988.686,24610.248,23751.006
24,25340.297,2314.174,27654.47,23026.123,25793.875,24886.719
25,26520.553,2437.3481,28957.9,24083.205,26998.273,26042.832
26,27718.967,2566.5723,30285.54,25152.395,28222.016,27215.918
27,28936.607,2696.8147,31633.422,26239.793,29465.184,28408.031
28,30177.572,2829.8518,33007.426,27347.72,30732.223,29622.922
29,31436.627,2964.8992,34401.527,28471.729,32017.748,30855.506
30,32716.488,3102.5034,35818.992,29613.984,33324.58,32108.398
31,34020.137,3242.9944,37263.133,30777.143,34655.76,33384.51
32,35344.367,3385.9473,38730.312,31958.42,36008.01,34680.723
33,36691.13,3535.2627,40226.39,33155.867,37384.04,35998.22
34,38062.773,3687.4504,41750.223,34375.324,38785.516,37340.03
35,39457.62,3840.293,43297.914,35617.33,40210.32,38704.92
36,40876.938,3997.3904,44874.33,36879.547,41660.426,40093.45
37,42323.31,4157.716,46481.023,38165.594,43138.223,41508.395
38,43794.68,4319.694,48114.375,39474.984,44641.34,42948.02
39,45292.16,4484.111,49776.27,40808.05,46171.047,44413.273
40,46818.523,4653.2607,51471.785,42165.26,47730.562,45906.484
41,48372.926,4824.4253,53197.35,43548.5,49318.51,47427.34
42,49956.184,4998.3203,54954.504,44957.863,50935.855,48976.51
43,51574.63,5172.285,56746.914,46402.344,52588.4,50560.86
44,53221.875,5350.329,58572.203,47871.547,54270.54,52173.21
45,54904.434,5528.7583,60433.19,49375.676,55988.07,53820.797
46,56620.44,5708.887,62329.33,50911.555,57739.383,55501.5
47,58371.426,5890.4106,64261.836,52481.016,59525.945,57216.906
48,60159.41,6073.1016,66232.516,54086.31,61349.74,58969.082
49,61986.6,6257.0464,68243.65,55729.555,63212.984,60760.22
50,63853.523,6440.8955,70294.42,57412.63,65115.938,62591.11
51,65760.04,6627.7227,72387.766,59132.316,67059.07,64461.004
52,67707.76,6817.4106,74525.17,60890.348,69043.97,66371.55
53,69699.84,7008.1943,76708.04,62691.65,71073.45,68326.234
54,71736.13,7201.2754,78937.41,64534.86,73147.586,70324.68
55,73820.03,7393.979,81214.01,66426.055,75269.25,72370.81
56,75953.66,7589.3823,83543.04,68364.27,77441.17,74466.14
57,78140.04,7782.74,85922.78,70357.3,79665.45,76614.625
58,80382.41,7980.258,88362.664,72402.15,81946.54,78818.27
59,82681.44,8179.1206,90860.555,74502.32,84284.55,81078.33
60,85037.91,8383.6455,93421.555,76654.26,86681.1,83394.71
61,87455.46,8591.266,96046.73,78864.195,89139.35,85771.57
62,89939.61,8803.339,98742.945,81136.27,91665.06,88214.16
63,92491.98,9021.869,101513.84,83470.11,94260.266,90723.69
64,95122.9,9245.289,104368.19,85877.61,96934.98,93310.82
65,97835.45,9469.082,107304.53,88366.375,99691.39,95979.516
66,100636.35,9696.859,110333.21,90939.49,102536.94,98735.766
67,103532.06,9926.234,113458.3,93605.83,105477.6,101586.52
68,106528.19,10158.299,116686.484,96369.89,108519.21,104537.164
69,109633.78,10389.6875,120023.47,99244.09,111670.16,107597.41
70,112853.93,10623.456,123477.38,102230.48,114936.125,110771.734
71,116196.5,10861.058,127057.555,105335.445,118325.266,114067.734
72,119666.77,11095.369,130762.14,108571.41,121841.47,117492.08
73,123279.31,11331.094,134610.4,111948.22,125500.2,121058.42
74,127043.72,11569.19,138612.9,115474.53,129311.28,124776.16
75,130970.49,11811.515,142782.0,119158.98,133285.55,128655.44
76,135076.9,12054.0625,147130.97,123022.84,137439.5,132714.31
77,139373.16,12299.013,151672.17,127074.14,141783.77,136962.55
78,143880.02,12544.808,156424.83,131335.2,146338.8,141421.23
79,148610.1,12789.932,161400.03,135820.16,151116.92,146103.27
80,153586.55,13034.052,166620.6,140552.5,156141.22,151031.88
81,158833.14,13270.646,172103.78,145562.5,161434.19,156232.1
82,164372.06,13495.259,177867.33,150876.8,167017.14,161726.98
83,170242.6,13701.057,183943.66,156541.53,172928.0,167557.19
84,176478.23,13872.565,190350.8,162605.67,179197.25,173759.22
85,183116.52,14008.657,197125.17,169107.86,185862.22,180370.81
86,190211.44,14101.899,204313.34,176109.53,192975.4,187447.47
87,197811.06,14125.682,211936.75,183685.38,200579.7,195042.42
88,206000.22,14067.179,220067.39,191933.05,208757.39,203243.05
89,214871.56,13911.791,228783.36,200959.77,217598.28,212144.84
90,224541.62,13623.567,238165.19,210918.06,227211.84,221871.4
91,235155.19,13183.813,248339.0,221971.38,237739.22,232571.16
92,246954.56,12614.003,259568.56,234340.56,249426.9,244482.22
93,260306.42,11995.801,272302.22,248310.62,262657.6,257955.25
94,275752.3,11476.908,287229.22,264275.4,278001.78,273502.84
95,293804.2,11273.873,305078.06,282530.3,296013.88,291594.5
96,314922.44,11845.134,326767.56,303077.3,317244.1,312600.78
97,339902.2,13725.09,353627.28,326177.1,342592.3,337212.06
98,370630.47,17837.562,388468.03,352792.9,374126.62,367134.3
99,410805.75,25632.064,436437.8,385173.7,415829.62,405781.88
