timestep,mean,std,mean_plus_std,mean_minus_std,ci_upper,ci_lower
0,1663.7365,58.87257,1722.609,1604.8639,1675.2754739227296,1652.1974264678954
1,2486.6252,43.560547,2530.1858,2443.0647,2495.163111328125,2478.087376953125
2,3321.1846,80.20392,3401.3884,3240.9807,3336.904538330078,3305.464602294922
3,4167.597,131.52962,4299.127,4036.0676,4193.376972961426,4141.817362976074
4,5024.8633,186.85942,5211.7227,4838.004,5061.487727722168,4988.238834777832
5,5893.466,242.56781,6136.0337,5650.898,5941.009111083984,5845.922529541016
6,6773.321,300.9987,7074.3193,6472.3223,6832.316543579102,6714.325057983398
7,7664.6357,361.4004,8026.036,7303.2354,7735.47021875,7593.801265625
8,8565.954,423.1138,8989.068,8142.8403,8648.88440637207,8483.02379675293
9,9479.307,485.56396,9964.871,8993.742,9574.477177734376,9384.136103515624
10,10403.273,549.147,10952.42,9854.127,10510.906244140626,10295.640630859374
11,11340.135,613.6881,11953.823,10726.446,11460.417635253907,11219.851895996093
12,12289.63,678.0651,12967.695,11611.564,12422.530647216798,12156.729118408202
13,13250.138,746.9064,13997.044,12503.231,13396.531344238281,13103.744046386719
14,14225.046,817.44196,15042.488,13407.604,14385.264521728515,14064.827275146485
15,15213.176,888.29645,16101.473,14324.879,15387.281885009766,15039.069677490234
16,16216.65,961.3033,17177.953,15255.347,16405.065834228517,16028.234947021485
17,17235.262,1037.7549,18273.016,16197.507,17438.66167578125,17031.86176171875
18,18269.998,1115.4939,19385.492,17154.504,18488.63485058594,18051.36124316406
19,19321.453,1197.5289,20518.982,18123.924,19556.168795410158,19086.737454589842
20,20388.477,1281.3868,21669.863,19107.09,20639.62838330078,20137.32474169922
21,21474.008,1364.4105,22838.418,20109.598,21741.432274902345,21206.583350097655
22,22578.217,1450.1827,24028.4,21128.033,22862.452613769532,22293.980979980468
23,23700.943,1540.9501,25241.893,22159.994,24002.96957373047,23398.91714501953
24,24843.0,1632.3378,26475.338,23210.662,25162.93820263672,24523.06179736328
25,26003.822,1725.1798,27729.002,24278.643,26341.95750830078,25665.68702294922
26,27184.846,1821.0106,29005.855,25363.836,27541.763784667968,26827.927621582032
27,28383.477,1921.674,30305.15,26461.803,28760.12465673828,28006.82846826172
28,29602.863,2023.064,31625.928,27579.799,29999.383818359376,29206.342744140624
29,30842.088,2127.5703,32969.656,28714.518,31259.091671875,30425.084109375
30,32101.227,2234.1946,34335.42,29867.031,32539.128700195313,31663.324424804687
31,33381.004,2344.2048,35725.207,31036.799,33840.46805371094,32921.53975878906
32,34684.684,2455.1187,37139.8,32229.564,35165.88684960938,34203.48033789062
33,36007.81,2571.525,38579.332,33436.285,36511.827474609374,35503.789712890626
34,37353.344,2688.0542,40041.4,34665.29,37880.20237304687,36826.48512695313
35,38720.85,2804.0564,41524.906,35916.797,39270.44661621094,38171.25650878906
36,40109.637,2918.1445,43027.78,37191.492,40681.593046875,39537.680390625
37,41519.918,3037.394,44557.312,38482.523,42115.24720117188,40924.58873632812
38,42951.766,3156.9583,46108.723,39794.81,43570.52944238281,42333.00180761719
