timesteps,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0,1644.1001,2487.4204,3339.6199,4219.5874,5113.3105,6003.1377,6903.4634,7818.282,8740.916,9674.575,10602.818,11533.386,12474.869,13435.288,14393.727,15357.918,16356.5625,17362.023,18405.838,19456.172,20529.484,21611.186,22693.9,23818.438,24969.518,26144.547,27334.121,28519.992,29762.67,31013.521,32288.979,33574.85,34881.812,36201.105,37553.58,38933.816,40320.113,41725.277,43164.04,44619.348,46109.58,47618.13,49169.973,50714.74,52295.906,53883.023,55526.582,57193.555,58917.523,60667.105,62433.902,64224.35,66038.64,67897.72,69795.97,71712.484,73698.62,75705.82,77793.29,79941.38,82153.84,84428.05,86778.664,89190.83,91682.14,94272.85,96946.45,99732.28,102624.336,105622.59,108752.695,112008.8,115409.4,118976.234,122719.78,126638.67,130774.68,135137.56,139732.98,144546.06,149620.42,155001.69,160758.98,166827.75,173295.86,180246.67,187720.8,195827.53,204509.9,214053.95,224597.67,236243.56,249260.64,263899.7,280334.16,299018.56,320703.8,346495.56,379423.8,423242.72
1,1645.7458,2408.5256,3183.7534,3972.7742,4757.169,5556.285,6377.7812,7202.241,8051.1396,8905.714,9786.211,10686.228,11580.117,12494.834,13416.138,14349.404,15304.801,16288.765,17272.807,18267.934,19294.02,20352.791,21426.053,22512.17,23620.0,24750.383,25903.867,27073.86,28262.443,29455.266,30670.66,31901.957,33130.523,34376.836,35644.688,36934.004,38251.258,39587.15,40956.03,42341.793,43755.992,45192.4,46652.637,48132.18,49637.465,51169.906,52729.766,54312.543,55938.562,57600.84,59274.996,60995.812,62749.027,64561.03,66406.445,68302.414,70236.76,72239.44,74296.54,76411.78,78596.04,80839.305,83135.39,85520.59,87985.63,90510.91,93150.43,95877.055,98695.93,101666.46,104730.9,107944.35,111286.7,114773.12,118426.15,122265.42,126229.055,130396.266,134785.88,139392.45,144277.08,149377.34,154804.86,160527.05,166710.44,173200.56,180259.33,187902.84,196269.34,205512.08,215730.1,227170.06,239887.84,254222.5,270700.97,289794.25,312395.16,340441.25,378461.06,429878.38
2,1675.7954,2520.7817,3370.2415,4222.257,5084.671,5966.347,6844.3564,7730.2407,8624.894,9529.32,10452.6875,11388.481,12320.563,13270.659,14236.699,15217.88,16223.764,17253.938,18273.072,19320.11,20380.645,21466.363,22569.764,23697.334,24837.922,25994.023,27178.693,28384.574,29615.924,30868.383,32139.97,33427.68,34741.555,36074.992,37422.402,38802.973,40200.234,41625.14,43052.625,44489.07,45942.7,47413.46,48916.52,50440.645,51966.3,53508.83,55045.062,56610.52,58208.64,59822.195,61473.223,63168.4,64897.707,66675.88,68494.11,70349.87,72270.02,74232.6,76236.94,78310.164,80450.52,82637.77,84915.89,87252.66,89675.44,92193.08,94782.06,97456.08,100262.85,103171.77,106200.46,109372.16,112700.91,116174.414,119843.664,123631.85,127621.28,131808.48,136254.14,140942.62,145862.72,151097.92,156654.77,162550.66,168794.83,175513.3,182726.39,190466.53,198878.28,208132.05,218409.45,229792.44,242553.55,257021.92,273285.3,291678.25,312988.94,338365.94,370478.47,413944.72
3,1599.832,2342.8174,3103.36,3870.4644,4666.3726,5480.6387,6292.4307,7118.6016,7959.9907,8828.951,9719.139,10613.27,11482.107,12401.476,13310.227,14248.974,15181.828,16136.178,17104.2,18092.18,19096.223,20117.215,21167.945,22230.625,23326.799,24423.914,25538.742,26689.256,27863.928,29054.018,30272.229,31512.762,32779.367,34059.56,35348.746,36667.9,38007.824,39373.605,40747.83,42154.363,43589.062,45047.21,46524.008,48030.406,49550.258,51092.996,52668.348,54277.316,55927.06,57604.24,59307.48,61037.31,62830.14,64636.66,66488.09,68393.27,70357.12,72365.34,74424.1,76530.85,78715.4,80961.82,83282.96,85673.375,88147.39,90725.31,93378.766,96095.82,98924.21,101868.484,104914.42,108064.5,111368.484,114812.875,118437.03,122237.78,126189.64,130396.2,134782.75,139396.55,144252.48,149370.39,154764.77,160491.62,166535.94,172963.48,179920.5,187352.23,195516.84,204469.2,214332.94,225206.89,237202.27,250441.27,265548.22,282647.12,302545.72,326536.5,357317.84,395193.94
4,1634.6848,2505.247,3366.9934,4261.1553,5159.287,6081.1064,7017.9805,7963.7217,8923.42,9901.349,10885.247,11891.79,12907.077,13939.812,14983.3125,16048.498,17120.986,18211.863,19322.348,20457.836,21592.326,22751.072,23931.982,25129.203,26350.846,27579.438,28840.51,30100.55,31391.523,32724.205,34057.934,35419.938,36789.992,38175.797,39561.387,40998.445,42443.633,43895.742,45386.664,46900.67,48452.58,50013.53,51602.766,53212.09,54856.3,56523.16,58219.77,59954.21,61698.137,63500.777,65326.69,67192.44,69089.52,71026.625,73021.19,75059.305,77139.516,79257.81,81454.89,83691.26,85998.875,88371.85,90802.52,93346.47,95952.57,98655.95,101450.39,104359.164,107371.24,110503.016,113739.21,117134.875,120639.71,124342.59,128170.76,132236.66,136452.27,140916.44,145611.86,150525.19,155737.05,161314.8,167229.48,173546.4,180268.62,187379.86,195081.97,203430.92,212408.58,222202.2,232947.02,244889.94,258127.02,272959.28,289427.94,307934.0,329112.22,354336.06,386250.16,430207.25
5,1661.6475,2452.1172,3254.2224,4056.7263,4878.8467,5714.2905,6566.526,7429.4644,8309.223,9195.389,10110.963,11047.552,12008.87,12968.04,13929.555,14911.699,15905.279,16912.139,17933.975,18985.602,20055.66,21136.568,22236.928,23357.004,24478.236,25644.963,26820.777,28030.658,29257.6,30508.338,31774.928,33062.465,34383.754,35724.258,37087.695,38484.93,39906.938,41361.035,42842.402,44333.465,45850.74,47404.332,48979.832,50586.52,52235.63,53898.746,55621.676,57360.234,59136.88,60934.125,62756.68,64624.32,66525.49,68485.516,70461.53,72479.85,74512.51,76619.164,78749.82,80951.49,83209.59,85532.92,87938.734,90397.98,92958.44,95606.195,98360.23,101214.27,104146.95,107220.586,110432.336,113788.04,117317.695,120984.58,124875.11,128937.65,133238.55,137727.16,142480.31,147467.66,152791.6,158439.94,164454.8,170807.48,177605.81,184941.7,192812.25,201354.25,210550.94,220600.94,231662.02,243865.22,257454.05,272713.5,289739.3,309100.44,331295.9,357763.97,391528.2,438416.34
6,1640.9119,2442.416,3256.1702,4091.7336,4938.1045,5784.623,6649.0493,7522.678,8402.323,9299.001,10192.843,11092.507,12007.201,12936.207,13884.839,14834.246,15799.92,16793.436,17799.61,18852.145,19909.467,21001.04,22093.17,23189.086,24317.367,25477.738,26667.164,27862.97,29094.436,30346.035,31632.582,32920.438,34223.6,35561.87,36921.074,38307.38,39706.973,41114.805,42552.523,44001.613,45480.297,46970.156,48498.418,50050.934,51627.8,53214.02,54842.28,56490.92,58157.184,59854.445,61594.13,63358.09,65154.055,66987.96,68874.19,70813.01,72800.734,74837.914,76928.77,79079.99,81288.6,83552.055,85907.61,88342.984,90863.24,93486.39,96170.26,98976.875,101873.92,104904.26,108044.055,111304.66,114727.93,118316.56,122084.945,126027.836,130170.89,134549.55,139105.56,143892.19,148976.27,154400.28,160095.58,166174.9,172605.33,179539.56,186976.5,194958.67,203581.81,213082.5,223397.45,234946.38,247908.33,262560.0,279397.4,298867.12,322065.75,350505.7,387954.75,441056.72
7,1615.7705,2371.0334,3144.853,3934.8037,4731.3657,5539.1133,6373.207,7210.155,8052.268,8901.991,9783.218,10670.036,11583.029,12503.495,13439.8,14379.58,15345.734,16321.792,17315.53,18318.031,19327.492,20356.443,21410.559,22459.945,23545.37,24661.639,25792.816,26948.127,28110.164,29296.998,30508.885,31748.562,33009.406,34295.906,35591.836,36919.773,38274.977,39656.387,41050.848,42455.34,43893.004,45364.53,46848.06,48360.223,49900.535,51453.5,53037.434,54662.934,56294.92,57962.664,59673.492,61410.883,63184.42,64985.94,66839.48,68740.195,70695.79,72691.19,74725.08,76815.836,78985.81,81209.84,83501.35,85880.02,88323.375,90857.28,93484.83,96194.2,99019.83,101950.76,105004.36,108178.44,111498.5,114964.555,118628.484,122456.24,126454.27,130658.28,135105.97,139786.5,144716.92,149884.11,155360.5,161197.42,167375.86,174003.48,181062.48,188694.67,197016.66,206167.16,216137.6,227078.77,239039.47,252198.53,266908.62,283530.38,302866.78,326456.6,356834.38,396232.66
8,1691.5405,2539.323,3396.294,4262.5566,5134.6787,6028.3843,6930.724,7858.195,8783.836,9737.557,10697.709,11670.912,12645.462,13640.912,14635.017,15657.633,16679.271,17729.25,18798.318,19878.125,20977.182,22089.79,23235.053,24393.838,25575.877,26790.682,28030.998,29289.418,30570.629,31878.94,33189.305,34541.836,35920.098,37315.234,38737.47,40158.066,41581.766,43033.082,44491.492,45955.2,47450.336,48970.11,50512.375,52068.234,53647.242,55225.06,56834.64,58477.12,60127.977,61818.18,63538.31,65281.33,67054.17,68880.19,70751.6,72667.24,74631.086,76648.96,78707.63,80842.83,83047.3,85292.94,87620.22,90043.44,92538.46,95124.08,97826.125,100634.164,103551.78,106608.73,109809.69,113160.73,116680.75,120377.2,124260.77,128328.03,132625.12,137194.64,141925.84,146979.92,152307.48,157955.8,163955.5,170340.78,177155.72,184398.84,192217.03,200551.81,209545.05,219219.39,229694.4,241042.28,253476.42,267129.62,282375.5,299777.97,319956.9,344171.5,373941.3,413658.25
9,1674.1055,2483.3787,3290.6238,4106.901,4933.444,5780.5005,6644.2554,7507.648,8383.17,9262.051,10167.125,11070.788,11994.766,12934.177,13888.353,14860.891,15825.898,16812.48,17808.717,18851.693,19916.273,20979.646,22065.486,23164.453,24272.475,25409.463,26580.506,27761.795,28973.848,30202.94,31443.9,32722.508,34027.418,35359.043,36708.527,38087.426,39488.637,40920.33,42356.562,43803.73,45280.97,46772.52,48322.535,49863.375,51420.793,53045.11,54671.176,56332.215,58031.734,59769.82,61536.61,63353.734,65184.016,67048.9,68949.97,70901.984,72916.67,74969.11,77099.53,79265.14,81517.1,83806.9,86202.47,88661.625,91219.87,93887.44,96629.62,99467.05,102410.36,105481.41,108680.87,112012.13,115497.0,119120.82,122893.76,126842.83,130992.03,135364.03,139967.17,144759.31,149828.7,155223.86,160953.4,167087.27,173618.14,180705.53,188272.83,196397.44,205305.06,215158.17,226104.42,238317.73,252260.62,268036.25,286364.53,307684.47,333037.62,364264.3,405472.62,463432.5
