timesteps,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0,2469.2168,3278.4976,4095.0142,4926.8823,5775.255,6632.8623,7492.3354,8369.537,9252.804,10158.22,11077.099,11996.7705,12935.013,13877.551,14841.017,15810.348,16795.926,17789.973,18812.826,19846.264,20900.977,21962.469,23013.514,24071.877,25159.84,26254.371,27348.438,28415.695,29509.182,30590.766,31658.97,32736.854,33781.96,34865.316,35902.914,36933.04,37972.598,38957.6,39870.21,40825.742,41720.836,42717.555,43502.03,44330.56,45240.62,46209.61,47166.47,47943.758,48881.684,49778.57,50736.953,51660.76,52513.824,53150.23,53747.27,54554.105,55384.945,55979.414,56984.555,57699.42,58416.43,59198.79,60022.14,61018.06,62100.64,62939.883,63770.492,64777.67,65589.945,66647.48,67837.63,69130.42,70277.2,71528.88,72868.8,73995.29,74972.664,76338.9,77907.58,79372.3,80863.98,82535.375,84356.65,86936.52,89708.28,93101.13,96757.87,100848.46,104966.914,109757.47,115231.37,121540.67,128621.19,136915.86,146595.86,157767.3,171114.1,187254.28,207458.84,233430.56
1,2527.1025,3296.4702,4072.7273,4881.8965,5696.675,6518.24,7356.484,8206.789,9070.825,9937.271,10811.826,11697.717,12584.729,13484.068,14401.949,15338.775,16258.029,17223.98,18194.416,19154.816,20165.88,21160.525,22157.125,23176.602,24190.086,25178.924,26209.893,27219.416,28266.807,29307.395,30290.568,31335.756,32343.367,33385.523,34382.234,35391.773,36416.4,37482.816,38501.723,39434.97,40271.344,41135.926,42087.73,42942.004,43721.41,44442.07,45313.227,46066.8,46732.72,47522.73,48225.83,48988.887,49739.234,50302.062,51099.83,51761.7,52515.723,53332.99,54066.883,54886.523,55616.746,56422.547,57082.39,57829.465,58642.465,59345.906,60119.79,61136.83,62174.67,63236.965,64427.008,65817.25,67003.63,68526.66,70090.19,71736.04,73583.484,75652.43,77935.46,80299.805,82757.13,85482.555,88651.43,91921.69,95420.164,99401.1,103731.7,108302.23,113259.28,118323.15,123849.65,129821.2,136423.97,143809.03,151871.52,161111.34,171680.72,183910.58,197914.69,214064.47
2,2439.021,3249.2178,4064.804,4906.234,5750.66,6609.65,7486.739,8359.114,9235.171,10147.589,11051.202,11980.1045,12938.795,13919.096,14897.734,15879.793,16894.809,17915.184,18941.293,20007.99,21047.176,22089.893,23114.746,24097.56,25138.268,26125.469,27145.633,28199.062,29137.361,30115.955,31166.648,32153.883,33040.867,34000.74,34857.13,35570.707,36138.05,36587.566,37337.42,37605.94,37812.055,38246.79,38762.562,39528.246,39982.1,40769.55,41485.07,42195.406,42732.9,43299.766,44200.906,44813.35,45456.145,46191.156,46952.105,47625.656,48320.125,48981.617,49642.81,50182.58,50916.125,51722.63,52334.25,52805.625,53266.992,54093.594,54827.39,55669.773,56773.0,57756.277,59043.043,60214.555,61714.61,63345.49,65087.113,66960.086,69060.99,71329.61,73785.5,76653.11,79553.2,82769.914,86152.26,89682.375,93412.89,97477.0,101616.64,106104.78,110931.31,116062.8,121374.8,127222.81,133604.78,140579.33,148053.53,156599.5,166339.73,177720.38,190423.7,204494.06
3,2517.417,3304.7727,4114.5205,4928.2983,5741.956,6578.2314,7464.49,8329.171,9197.556,10101.248,10987.883,11881.99,12799.779,13708.941,14631.304,15584.337,16585.203,17552.686,18547.232,19490.357,20437.945,21478.496,22448.129,23433.3,24449.982,25433.17,26359.004,27367.658,28475.697,29548.305,30549.18,31626.318,32602.273,33612.63,34720.297,35749.406,36827.973,37959.5,39045.45,40085.773,41144.254,42199.68,43181.07,44186.86,45084.758,46109.754,47143.383,48128.934,49038.043,50155.25,51132.992,52168.273,53024.69,53760.375,54519.117,55323.94,56152.5,57072.63,57869.58,58545.637,59233.074,59957.574,61078.832,61938.33,62773.117,63655.316,64578.15,65343.996,66426.7,67297.61,68273.64,69271.13,70586.08,71746.55,72883.375,74017.03,75298.13,76669.04,77834.14,79342.83,80746.33,82048.52,83872.2,85798.266,87939.25,90703.44,93413.65,96541.21,100071.63,103821.56,108299.42,113526.125,119198.34,125935.62,133888.62,143484.88,154658.58,168569.55,185345.86,206512.67
4,2417.1987,3173.6848,3945.5522,4730.957,5517.1553,6321.1704,7138.84,7965.1514,8807.584,9669.992,10522.679,11402.038,12321.772,13208.818,14141.859,15081.361,16001.422,16906.89,17866.611,18798.143,19755.914,20745.477,21766.324,22756.361,23766.262,24781.54,25766.566,26805.057,27773.686,28783.484,29814.73,30826.07,31829.846,32788.227,33778.51,34808.668,35805.734,36867.047,37979.867,39009.125,40091.45,41143.48,42229.895,43257.395,44305.605,45326.85,46419.85,47513.457,48460.6,49418.51,50493.87,51420.64,52394.688,53387.855,54416.625,55550.492,56698.707,57976.285,59271.695,60641.277,61839.234,63325.184,64690.273,66170.39,67781.94,69357.42,71028.336,72808.76,74548.484,76482.61,78471.15,80422.15,82644.45,84896.55,87221.18,89645.1,92214.64,94913.875,97728.36,100755.17,103852.305,107208.87,110716.87,114449.27,118465.67,122742.08,127386.2,132188.9,137185.53,142606.3,148261.69,154456.14,161267.3,168926.14,177449.94,187217.47,198530.02,211302.62,225789.64,243373.22
5,2506.912,3285.3433,4065.8474,4865.927,5685.1606,6506.951,7336.9463,8174.604,9028.168,9913.0625,10802.641,11705.557,12615.531,13553.577,14476.683,15419.63,16373.051,17312.895,18279.754,19202.262,20189.998,21184.314,22128.873,23077.625,24031.352,25005.365,25867.611,26707.803,27638.086,28570.982,29480.652,30456.629,31453.688,32440.25,33409.19,34343.746,35221.684,36041.906,36994.848,37843.49,38726.043,39734.445,40287.125,41102.36,41896.48,42388.08,43000.027,43685.73,44115.293,44573.53,45395.684,46016.42,46813.12,47711.543,48359.56,49362.047,50252.97,51049.684,51616.355,52071.594,52805.69,53182.53,53297.336,53999.36,54619.426,55013.1,55766.973,56705.86,57504.848,57979.266,58607.82,59389.797,59723.555,60350.348,61493.844,62646.05,63722.586,65201.395,66020.08,67327.25,68922.08,70875.03,73038.766,75202.05,77733.63,80375.98,83667.125,86983.516,90920.35,95634.61,100788.805,106711.305,112989.34,120013.99,127645.45,136924.62,147053.55,158533.73,171675.66,187248.97
6,2649.459,3435.0361,4238.8164,5060.672,5906.318,6763.1006,7618.9644,8506.955,9390.903,10302.907,11220.285,12153.277,13081.321,14036.165,15004.087,16006.678,16996.676,17982.9,18946.197,19960.04,20927.586,21969.271,22985.05,23987.084,24959.203,25956.549,26943.58,27884.14,28841.379,29777.78,30744.955,31670.947,32601.61,33505.64,34451.18,35357.805,36332.81,37282.992,38206.918,38991.203,39827.73,40682.133,41432.168,42352.418,43149.895,43800.234,44369.348,44856.383,45174.875,45719.855,46128.832,46644.812,47027.957,47454.79,47749.3,48113.617,48562.254,49150.016,49797.895,50438.55,50929.168,51254.848,52033.54,52626.42,53220.598,53720.004,54570.203,55524.145,56463.656,57322.93,58394.734,59267.61,60191.86,61135.773,62313.95,63799.57,65201.016,66704.72,68438.766,70474.53,72604.516,74887.25,77448.09,80029.04,82990.24,86410.805,90007.984,93938.086,98318.9,102906.734,107984.73,113670.04,119901.63,126938.016,134686.53,143216.94,153177.34,164565.69,177606.42,192481.89
7,2235.8193,3027.0654,3826.6897,4640.346,5461.126,6288.004,7117.9585,7970.1436,8818.862,9699.82,10586.093,11478.704,12387.196,13300.457,14207.135,15134.548,16050.6045,16986.87,17931.797,18862.906,19759.93,20720.217,21589.172,22546.94,23430.508,24359.139,25299.021,26288.287,27273.873,28196.045,29195.227,30094.633,30989.021,31916.887,32908.4,33844.78,34793.535,35769.09,36804.55,37719.168,38615.816,39375.266,40155.01,40955.055,41723.855,42353.33,43188.938,43995.992,44869.45,45601.348,46386.535,47186.297,48099.246,48876.062,49796.977,50728.14,51611.766,52296.414,53014.344,53943.93,54949.668,55990.965,57287.54,58680.836,60094.4,61500.926,63001.203,64411.55,66126.96,67857.336,69588.375,71506.93,73383.57,75569.38,77802.805,80124.15,82726.08,85559.97,88487.01,91769.96,95329.414,99226.516,103346.83,107909.85,112867.95,118022.42,123771.85,129780.94,136472.78,143707.6,151598.0,160469.7,170468.44,181584.86,194268.53,208799.17,225633.69,246318.73,273366.8,306422.8
8,2297.3809,3088.9595,3897.002,4730.1133,5562.8457,6415.866,7264.796,8144.233,9028.435,9918.865,10825.484,11754.638,12693.422,13640.799,14602.558,15584.862,16572.129,17563.512,18563.174,19553.098,20570.967,21597.97,22636.715,23633.086,24693.572,25742.422,26788.95,27843.695,28927.912,30044.842,31124.303,32227.379,33349.72,34486.945,35649.97,36779.91,37870.375,39059.434,40277.31,41486.63,42623.188,43799.445,44944.82,46105.45,47337.387,48474.383,49624.49,50750.492,51918.13,53053.402,54221.527,55437.35,56647.652,57830.395,59029.355,60312.875,61425.344,62590.293,63699.95,65056.582,66445.85,67778.87,69302.05,70851.11,72513.36,74380.51,76215.59,78245.77,80332.47,82630.62,84996.195,87341.08,89817.18,92496.7,95238.82,98164.36,101237.766,104392.2,107849.51,111386.79,115105.37,119208.4,123487.21,128118.42,133067.53,138316.34,143807.0,149552.77,155475.39,161847.9,168797.98,176247.08,184680.38,193712.89,203535.25,214685.3,227733.23,242552.34,260547.44,281746.16
9,2430.3857,3172.259,3944.1309,4716.842,5509.119,6322.323,7139.576,7959.7104,8794.982,9654.428,10518.935,11395.158,12275.5625,13175.124,14080.232,15008.796,15940.477,16898.191,17861.256,18822.334,19786.033,20765.057,21740.637,22717.906,23687.553,24662.555,25617.164,26619.018,27619.422,28545.057,29454.053,30372.38,31361.262,32357.572,33348.816,34315.246,35247.35,36133.1,37042.586,37875.527,38884.56,39836.3,40794.242,41713.195,42608.812,43540.312,44288.83,45104.684,45973.246,46702.52,47460.344,48089.297,48906.668,49637.74,50243.984,50905.418,51494.266,52191.92,52993.758,53742.26,54656.15,55308.39,56176.566,57243.746,58174.906,59117.676,60134.34,61313.62,62560.88,63952.938,65424.09,66968.555,68571.13,70382.75,72134.42,74154.66,76409.06,78634.27,81071.1,83569.625,86372.92,89392.586,92623.586,96016.21,99594.67,103540.43,107745.695,112208.98,116918.88,122114.79,127564.875,133307.36,139635.08,146628.02,154402.27,163241.27,173196.4,184726.52,198184.88,213596.98
