timesteps,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0,2470.546,3272.9578,4094.6309,4938.24,5778.164,6644.2656,7511.118,8389.856,9272.287,10177.126,11070.496,11972.338,12912.485,13855.228,14804.969,15749.768,16711.389,17656.7,18658.695,19605.523,20610.213,21643.082,22657.514,23695.34,24774.848,25855.127,26926.752,27980.271,29041.443,30031.668,31163.096,32312.562,33346.383,34474.83,35525.11,36525.14,37651.43,38682.754,39805.06,40864.535,41703.16,42543.69,43458.375,44227.78,45267.766,46265.824,47341.285,48575.793,49778.0,50727.473,51764.24,52787.52,53350.195,54139.06,55193.727,55826.07,56624.383,57204.41,57250.375,57942.277,58442.58,59119.863,59542.203,60283.03,60648.81,61484.18,61990.805,62245.777,63382.625,64220.008,65680.65,66018.44,66922.44,67884.71,69192.73,69952.266,71378.97,72243.45,73707.03,74435.37,75045.984,76639.414,78357.81,80027.08,80213.07,80354.71,81777.92,83718.2,86373.14,88944.766,92055.92,94802.0,99491.984,102807.42,109118.34,118766.234,131456.67,148846.14,186785.9,306795.1
1,3093.916,3889.413,4699.012,5509.906,6343.686,7204.386,8074.072,8961.478,9853.393,10768.585,11667.476,12602.177,13544.448,14479.257,15452.23,16367.345,17323.67,18312.412,19266.256,20212.965,21163.957,22156.143,23068.994,24008.3,25022.586,26033.47,27026.23,27954.324,28921.885,29877.389,30930.836,31936.994,32882.125,33890.16,34834.777,35824.62,36753.49,37564.76,38477.363,39366.668,40292.312,41091.17,41817.938,42509.945,43206.574,43786.09,44190.2,44815.01,45596.72,46111.06,46683.824,46916.375,47249.92,47929.918,48444.047,48686.574,49094.902,49956.223,50537.207,50752.637,51166.863,51402.438,51661.16,52054.062,52166.176,52624.965,53033.555,53044.637,53305.348,53083.035,53191.37,53256.883,52356.453,51826.203,51841.316,52082.605,52169.887,53819.754,55148.938,56280.066,57709.742,59068.49,60576.797,62113.78,63354.375,64190.83,65688.4,67659.61,68542.4,70953.22,73646.31,76562.95,80217.09,85607.016,92808.24,104851.67,117204.42,137043.06,177763.75,276590.56
2,2114.155,2862.2893,3616.4553,4392.224,5168.7446,5968.773,6774.869,7593.917,8437.772,9289.795,10154.297,11018.95,11898.198,12790.129,13715.354,14627.768,15547.958,16440.148,17340.295,18281.219,19239.486,20240.865,21145.71,22104.342,23069.008,24075.031,25015.06,26092.688,27163.568,28166.701,29153.885,30103.266,31138.443,32230.402,33287.777,34422.207,35569.207,36727.133,37908.62,38918.19,39810.31,41119.418,42251.496,43455.11,44629.594,45670.8,46780.285,47586.63,48792.98,49883.008,50944.69,51889.48,53101.324,54214.375,55238.39,56549.543,57729.117,59013.992,60604.953,62017.2,63537.656,65063.777,66295.39,67787.99,68741.73,70175.06,71590.47,73070.26,74258.96,75338.61,76491.12,76899.74,77715.4,77632.81,78409.94,78665.03,80128.88,80327.266,80322.2,80781.75,81691.22,81955.836,81363.42,82004.32,81567.086,83136.555,84828.76,85272.7,86675.67,87116.72,88533.086,91512.32,94372.1,98996.445,104886.6,113438.13,125619.03,142614.6,186936.19,316159.94
3,2470.546,3284.7256,4100.8076,4940.699,5781.1,6647.2905,7518.1997,8390.934,9283.872,10173.0,11099.677,12012.36,12943.215,13905.121,14872.529,15828.585,16779.729,17774.37,18743.674,19743.365,20776.25,21794.963,22825.947,23837.08,24858.723,25920.844,26939.818,27961.31,29013.99,30101.781,31128.31,32221.646,33304.605,34418.703,35495.527,36528.88,37473.844,38391.76,39395.75,40352.316,41383.27,42250.668,43207.34,44189.695,45254.52,46267.863,47183.867,48323.098,49374.195,50607.926,51532.652,52572.645,53567.855,54547.637,55672.484,56444.324,57123.984,57387.523,57823.57,58438.293,59267.11,59811.883,60185.234,60995.15,61568.7,62521.65,62695.527,62647.97,63570.43,64685.977,66112.09,66401.87,67051.22,67831.76,68827.125,69576.05,70519.34,71193.59,71769.766,73270.38,74286.91,74524.0,76394.586,78137.99,79619.21,80334.94,81662.87,85016.48,86599.125,89600.555,93543.1,96925.13,101887.74,104256.7,110645.71,119204.77,132807.89,152442.92,188920.75,309588.44
4,2470.546,3276.5718,4095.3591,4933.14,5786.839,6650.9395,7529.386,8410.748,9293.428,10196.857,11089.346,12002.828,12938.083,13890.817,14841.259,15780.433,16728.088,17683.928,18647.19,19628.21,20589.55,21578.652,22598.078,23653.305,24703.086,25726.58,26786.395,27869.031,28854.217,29913.477,30971.453,32082.13,33166.47,34213.883,35305.93,36312.094,37379.42,38404.613,39389.035,40318.1,41274.24,42128.12,42934.305,43897.523,45023.6,46165.58,47275.316,48302.77,49452.91,50756.54,51808.73,52783.387,53633.37,54508.863,55555.848,55920.57,56392.117,56542.38,56728.406,57075.0,57634.97,58340.934,59138.816,60130.445,61002.645,61887.86,62058.848,62715.72,63767.457,64696.625,65838.76,66538.805,67266.16,68017.664,68785.13,69338.484,70359.55,71295.125,72220.51,73123.85,73526.47,74297.99,75522.7,77592.734,78268.91,78895.06,79701.305,82311.66,84624.16,87176.98,89700.93,93231.84,97970.164,101124.08,106071.586,114468.484,126500.305,144455.12,182596.14,299388.7
5,2751.4707,3548.7358,4374.285,5220.7505,6072.4287,6950.525,7840.1665,8745.515,9658.449,10581.845,11524.789,12461.613,13407.199,14347.734,15319.562,16269.112,17238.51,18219.957,19194.748,20176.646,21199.924,22208.55,23232.445,24250.71,25303.994,26344.635,27404.564,28367.55,29286.78,30192.992,31262.873,32129.766,33164.973,34177.793,35192.465,36100.246,37021.68,37821.625,38657.32,39590.98,40314.926,41321.223,42023.37,42719.754,43467.402,44040.805,44920.023,45854.32,46590.367,47500.37,48242.8,48374.285,49096.727,49662.08,49966.035,50541.7,50850.234,51121.39,51589.906,51593.832,52006.59,52160.297,52761.215,53105.16,53308.27,53602.133,53672.418,53388.89,53577.777,53084.652,53797.953,53734.492,53576.332,53393.234,52950.39,52882.734,52829.773,53056.55,53247.258,53361.68,54073.016,53639.82,53354.484,53633.695,53658.254,55323.836,56920.65,56312.71,58362.74,60324.777,64004.13,68164.7,72523.11,79600.5,85747.04,97309.375,109425.91,129802.98,168063.9,273023.0
6,2114.155,2863.1887,3624.147,4398.8506,5187.174,5989.1196,6804.414,7633.8896,8488.825,9347.366,10198.625,11068.863,11958.293,12843.616,13768.311,14653.129,15567.231,16493.645,17398.451,18304.33,19287.582,20222.523,21082.559,21989.545,22978.482,23952.58,24979.912,25942.225,26845.47,27837.998,28878.688,29821.393,30889.746,31914.691,32966.934,34103.996,35189.562,36241.344,37242.887,38326.434,39304.46,40372.293,41508.004,42631.438,43846.305,44699.125,45878.027,46861.14,47875.465,49038.867,50111.277,51355.453,52778.332,53649.688,55281.26,56378.86,57663.793,59063.16,60499.316,62051.168,63340.836,64987.598,66230.7,67096.58,68425.59,69802.016,71317.91,73073.516,74989.664,76130.03,77173.37,77912.164,79472.06,79361.15,79642.9,80510.234,80959.914,81962.66,80941.82,80947.625,80768.05,81132.25,81359.61,81503.164,81998.11,83062.98,84484.32,84977.586,85842.96,87119.984,89298.43,93549.414,96959.78,102060.87,106595.11,115069.98,127393.625,144337.8,186258.19,312137.03
7,2362.516,3134.729,3927.312,4735.9004,5545.2715,6376.216,7230.6367,8098.2344,8966.015,9852.151,10733.552,11627.371,12524.675,13433.475,14359.111,15301.116,16233.927,17186.553,18148.668,19130.146,20136.07,21139.777,22150.184,23162.348,24162.402,25187.572,26239.502,27270.04,28323.865,29371.324,30465.127,31508.203,32559.959,33589.312,34619.758,35586.203,36644.25,37550.047,38503.906,39559.832,40621.04,41702.16,42534.7,43306.598,44394.797,45251.66,46160.742,46931.703,47870.84,48707.605,49672.973,50883.387,51560.523,52105.777,52976.727,53657.742,54711.996,55380.23,56398.516,57002.086,57902.297,58336.426,58583.26,59373.19,59668.17,60318.34,60040.81,59557.957,60299.242,60968.04,62034.367,62668.85,62983.54,63693.29,64182.516,64842.453,64614.156,64185.582,64369.56,64427.855,63783.836,63818.37,62980.164,62940.438,63641.535,64405.375,64965.434,65472.47,66863.195,67630.22,70172.586,72633.75,75963.7,81933.11,90395.266,98366.03,109751.586,129282.36,166708.77,299287.7
8,2114.155,2861.275,3622.8157,4394.4233,5181.096,5975.405,6795.26,7618.7827,8454.842,9315.766,10175.387,11050.762,11921.651,12830.219,13745.078,14650.477,15573.148,16483.451,17421.67,18355.828,19311.285,20264.61,21214.938,22194.639,23137.775,24116.53,25045.35,25993.982,26960.99,27944.111,28889.125,29849.514,30803.47,31866.621,32929.66,33906.047,34925.496,35918.086,37128.47,38189.457,39244.54,40342.805,41440.96,42509.094,43620.297,44763.156,45787.883,46986.69,48245.867,49426.742,50470.992,51839.293,52805.77,53853.145,55009.426,56018.65,56890.7,58359.277,59561.348,60929.76,62486.215,64092.5,65711.31,67147.195,68710.86,70050.96,71261.64,72822.66,73866.41,74615.56,75676.21,76183.695,76843.32,77196.04,77775.484,78203.02,78731.71,79763.984,79923.07,79390.54,79244.55,79137.21,78635.77,79213.164,78829.7,80025.516,81558.48,82770.08,84075.984,84399.13,85212.46,88972.95,93554.8,99675.99,104346.234,112487.734,126001.31,142972.0,184812.53,317440.62
9,2593.8613,3354.4949,4132.0444,4923.4463,5728.557,6548.8296,7387.562,8226.905,9079.661,9964.027,10864.594,11771.8,12713.575,13648.647,14589.603,15557.249,16534.521,17538.74,18565.016,19607.47,20663.61,21713.523,22805.668,23904.03,25025.898,26149.531,27261.256,28428.193,29589.65,30779.955,31978.59,33119.5,34301.113,35418.46,36598.81,37690.418,38845.906,39967.4,41127.703,42188.508,43235.57,44335.79,45425.688,46587.418,47630.62,48673.926,49865.676,50853.65,51807.945,52815.176,54076.227,55130.555,56146.965,57240.23,58256.094,59495.133,60822.934,61842.277,62988.62,64235.016,65479.23,66958.77,68356.0,69762.06,71216.336,72478.44,73950.086,75150.59,76480.74,78247.01,79581.15,81053.83,82164.17,83012.26,83940.58,84920.57,86047.76,86824.945,88213.67,88620.26,89702.28,91255.84,92587.164,93243.02,95578.03,96630.08,98893.41,102454.79,105414.414,108333.56,110900.17,114549.25,117266.28,121483.195,127529.61,134684.48,148277.12,167718.66,212895.72,344200.8
