timesteps,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0,1771.1909,2618.6333,3474.755,4334.1455,5209.037,6095.6924,6992.6245,7896.092,8798.551,9718.398,10658.72,11608.492,12558.236,13510.96,14488.627,15478.266,16479.078,17497.16,18528.027,19573.414,20630.518,21699.412,22768.746,23870.143,24995.947,26124.393,27271.854,28446.732,29636.674,30849.01,32069.549,33322.508,34609.934,35914.33,37248.375,38608.598,39983.387,41393.3,42811.562,44263.047,45742.094,47239.06,48785.324,50346.76,51923.992,53516.855,55138.24,56779.965,58441.87,60128.54,61851.516,63591.117,65352.81,67129.96,68940.586,70794.445,72694.31,74658.96,76647.82,78700.29,80799.445,82977.086,85208.9,87513.78,89893.54,92358.24,94912.45,97568.97,100332.72,103196.44,106179.336,109299.61,112548.6,115973.69,119585.15,123374.12,127326.914,131509.61,135926.86,140554.97,145454.47,150624.56,156124.4,162044.0,168302.56,175030.69,182304.27,190129.7,198599.05,207854.39,217783.78,228602.42,240523.03,253809.69,268954.38,286411.72,306672.8,330418.72,359821.6,398073.78
1,1735.3942,2516.5186,3309.9329,4113.339,4923.295,5757.653,6598.987,7435.422,8295.928,9155.903,10037.051,10923.944,11826.31,12719.459,13627.77,14556.673,15491.083,16434.463,17398.215,18359.215,19349.502,20353.732,21369.148,22400.438,23448.125,24519.662,25591.422,26689.596,27807.748,28947.703,30107.615,31280.23,32477.736,33696.766,34937.99,36193.36,37474.586,38777.555,40098.082,41451.926,42825.33,44224.81,45645.6,47089.688,48575.965,50085.797,51619.406,53177.805,54760.766,56380.914,58040.844,59733.82,61469.98,63232.617,65046.496,66896.26,68786.59,70726.29,72721.34,74769.85,76894.016,79050.08,81295.64,83582.44,85974.26,88434.6,90999.43,93670.36,96451.18,99330.54,102341.79,105456.266,108741.94,112145.6,115754.17,119514.38,123449.766,127646.16,132076.92,136716.02,141638.53,146843.67,152403.19,158365.75,164791.03,171726.16,179096.94,187016.17,195540.08,204706.44,214658.45,225420.67,237446.25,250799.81,266103.8,283471.97,303508.1,326891.16,355656.94,393756.12
2,1593.3116,2443.0244,3303.0583,4167.6772,5037.18,5910.3003,6793.188,7690.751,8600.249,9540.152,10477.042,11442.405,12397.096,13374.989,14376.883,15368.916,16390.273,17429.658,18483.291,19552.99,20657.273,21758.426,22887.49,24046.732,25211.45,26379.541,27585.984,28805.68,30037.871,31319.043,32611.234,33931.926,35259.555,36604.01,37966.06,39346.785,40771.28,42203.348,43659.902,45157.395,46691.074,48222.58,49777.105,51368.14,52974.55,54608.484,56263.74,57969.273,59704.883,61454.418,63262.766,65098.83,66964.08,68869.28,70817.65,72835.32,74900.94,77027.33,79222.47,81473.83,83805.54,86188.37,88669.39,91238.77,93911.305,96670.92,99518.55,102477.57,105547.75,108695.11,111988.664,115422.91,118962.4,122654.11,126490.945,130494.64,134688.22,139147.44,143742.8,148586.06,153751.77,159214.7,165017.89,171196.14,177829.03,184950.67,192715.67,201081.6,210231.0,220231.72,231314.48,243567.62,257331.73,272928.8,290792.7,311367.16,335341.6,363662.03,398914.03,445870.53
3,1569.3164,2415.7722,3286.1047,4141.7876,5005.635,5881.5166,6753.479,7653.408,8521.719,9435.303,10359.147,11293.906,12231.505,13188.154,14157.771,15136.877,16125.371,17133.256,18160.764,19217.537,20274.32,21355.904,22452.188,23576.889,24718.47,25891.707,27092.896,28308.87,29554.773,30804.389,32082.709,33400.99,34713.07,36066.58,37448.04,38849.207,40259.95,41728.54,43207.562,44699.59,46223.74,47777.688,49355.88,50966.727,52581.98,54227.02,55928.12,57648.336,59402.688,61200.547,63025.402,64896.895,66816.08,68751.41,70752.055,72789.24,74881.66,77032.37,79248.586,81525.56,83894.56,86316.6,88825.305,91407.555,94078.52,96848.99,99701.04,102672.6,105760.49,108974.81,112286.1,115724.48,119307.84,123025.32,126916.39,130941.97,135187.28,139600.67,144276.95,149209.2,154438.66,159937.55,165787.67,171997.69,178678.89,185882.84,193619.75,202008.95,211075.11,220915.23,231781.9,243767.73,257128.42,272035.72,288897.16,308301.97,331192.28,358228.62,392178.16,438458.88
4,1665.105,2478.6753,3302.2852,4140.2627,4973.4062,5816.0376,6687.2183,7562.729,8450.944,9359.595,10239.227,11136.911,12064.265,12965.714,13880.683,14817.148,15748.43,16697.785,17675.016,18651.29,19653.049,20658.22,21673.219,22702.986,23766.088,24839.508,25916.812,27029.03,28163.25,29309.385,30476.967,31667.246,32877.137,34113.676,35359.29,36621.273,37916.09,39233.562,40596.203,41960.8,43346.98,44752.54,46198.67,47651.875,49135.52,50652.223,52185.266,53763.58,55400.555,57055.35,58750.78,60490.53,62259.88,64077.27,65917.164,67822.83,69775.516,71800.68,73851.016,75976.35,78159.13,80414.86,82725.86,85087.734,87521.805,90044.2,92625.92,95315.68,98134.5,101057.16,104083.82,107236.02,110539.59,113990.766,117580.914,121358.3,125298.49,129425.92,133771.28,138348.73,143122.98,148230.2,153646.48,159425.38,165622.38,172260.7,179435.84,187319.95,195828.02,205185.69,215605.75,227280.44,240500.34,255500.77,272905.8,293266.78,316637.47,344617.16,379418.22,425707.3
5,1581.5135,2526.7778,3497.7844,4469.4434,5465.577,6478.339,7509.794,8540.644,9583.296,10640.3125,11703.194,12791.308,13894.206,15010.429,16151.048,17308.459,18460.785,19647.438,20855.662,22075.451,23312.45,24573.805,25864.576,27170.328,28495.523,29824.71,31178.36,32570.988,33985.11,35410.742,36863.355,38316.434,39811.22,41315.742,42868.09,44428.152,46015.957,47627.21,49265.914,50934.805,52631.336,54356.074,56117.348,57909.1,59741.676,61594.27,63476.582,65409.773,67367.4,69384.07,71416.85,73499.74,75619.95,77786.664,80002.63,82264.92,84581.83,86957.234,89395.62,91888.22,94445.81,97069.31,99766.414,102550.305,105409.26,108332.88,111352.11,114529.0,117780.18,121147.266,124632.8,128245.83,131988.17,135923.58,139987.05,144266.84,148736.89,153422.03,158331.94,163484.25,168933.14,174669.69,180743.48,187154.31,193881.19,201021.61,208611.53,216697.86,225247.78,234396.61,244087.36,254544.64,265948.0,278560.34,292984.94,309395.3,328670.44,351458.56,379552.2,416198.6
6,1688.6448,2399.1433,3120.9636,3850.696,4598.554,5369.466,6153.68,6932.1777,7727.495,8528.548,9341.004,10177.484,11022.281,11874.746,12745.193,13621.544,14505.143,15407.427,16335.502,17255.258,18191.387,19111.418,20054.56,21042.014,22025.953,23008.922,24007.27,25023.668,25990.219,27034.654,28074.342,29133.244,30248.865,31323.889,32437.65,33587.21,34748.07,35947.152,37195.113,38429.79,39716.84,41013.02,42375.688,43758.03,45181.934,46607.156,48100.105,49620.973,51174.562,52783.098,54422.97,56133.688,57876.082,59687.688,61538.89,63411.605,65350.69,67352.805,69368.484,71454.6,73569.62,75729.82,77945.37,80226.99,82586.81,85014.734,87507.25,90090.5,92750.305,95498.98,98388.88,101346.75,104403.62,107569.19,110884.78,114335.58,117968.59,121789.234,125804.61,130011.17,134446.52,139136.73,144129.77,149391.17,155045.12,161075.7,167485.6,174466.92,182085.64,190400.84,199705.42,210192.58,222289.0,236332.94,253378.9,273876.8,298358.28,328060.75,365641.2,417442.6
7,1580.4097,2558.367,3547.9548,4557.224,5598.371,6640.7695,7696.6787,8762.182,9839.502,10925.528,12029.984,13158.504,14308.443,15468.452,16639.475,17829.99,19029.863,20260.418,21489.482,22738.764,23989.738,25294.533,26600.979,27927.377,29275.566,30651.043,32061.627,33496.64,34941.863,36434.547,37921.574,39442.254,40986.867,42563.164,44180.934,45822.19,47496.21,49183.688,50924.324,52685.477,54482.086,56301.42,58170.133,60048.51,61979.785,63940.637,65941.52,67986.04,70061.67,72170.64,74343.73,76530.41,78761.64,81057.625,83378.01,85763.39,88180.055,90648.86,93181.6,95775.02,98419.12,101130.44,103899.83,106767.59,109717.93,112740.89,115882.23,119125.38,122489.18,125965.89,129584.23,133290.12,137120.44,141114.11,145244.44,149549.16,154025.05,158706.02,163579.12,168626.42,173959.02,179494.52,185299.5,191391.03,197746.39,204388.9,211373.12,218683.05,226314.84,234499.06,243096.25,252129.23,261897.03,272862.53,285533.16,300256.5,317410.22,337188.97,360530.2,389171.06
8,1585.2244,2534.6626,3490.082,4476.882,5475.829,6483.7954,7517.87,8551.092,9616.685,10700.835,11801.372,12907.828,14016.068,15163.529,16313.398,17442.69,18635.84,19828.227,21039.283,22277.988,23532.94,24818.824,26114.078,27443.953,28795.037,30177.488,31563.418,32993.047,34444.715,35909.055,37403.887,38931.977,40490.68,42077.258,43687.04,45312.11,46960.582,48662.625,50392.387,52139.188,53919.543,55733.32,57568.734,59435.645,61341.83,63273.727,65242.332,67236.34,69258.64,71325.0,73437.04,75601.49,77792.4,80028.055,82291.62,84615.305,86986.29,89407.1,91866.8,94382.66,96968.93,99617.77,102317.14,105092.99,107937.86,110870.195,113904.17,117018.8,120246.45,123585.375,127068.36,130615.92,134313.03,138142.12,142106.94,146252.44,150503.77,154962.17,159624.72,164429.97,169464.08,174739.62,180277.72,186056.84,192087.66,198413.31,205039.89,211836.89,218978.31,226382.2,234087.94,242013.47,250398.42,259773.73,270929.44,284214.88,299795.97,317804.56,338614.12,364226.34
9,1706.9772,2396.2761,3109.3286,3829.0054,4560.6357,5303.07,6051.0693,6837.0703,7617.176,8395.242,9205.22,10040.921,10858.834,11685.533,12509.622,13364.032,14238.761,15118.75,15998.362,16893.299,17809.85,18697.352,19586.893,20510.469,21445.158,22383.145,23370.084,24356.914,25372.025,26387.354,27431.018,28521.24,29625.123,30683.184,31803.408,32961.37,34104.51,35303.934,36537.918,37780.5,39038.77,40324.15,41636.363,42988.695,44393.418,45845.387,47320.34,48819.656,50342.625,51927.254,53565.94,55256.523,56951.64,58676.52,60458.258,62288.17,64161.637,66076.195,68035.11,70045.36,72080.59,74182.34,76336.53,78558.875,80853.93,83218.15,85693.88,88254.45,90875.96,93621.73,96440.4,99385.51,102441.805,105627.02,108939.32,112429.69,116095.52,119885.664,123934.82,128134.63,132590.19,137311.89,142306.94,147585.25,153259.97,159342.72,165836.9,172933.48,180606.62,189019.02,198443.28,209200.86,221390.28,235758.42,252833.4,273152.9,297500.97,326976.2,364221.47,414691.8
