timestep,mean,std,mean_plus_std,mean_minus_std,ci_upper,ci_lower
0,1390913.9,436868.47,1827782.4,954045.4,1417991.2632235377,1363836.4867764623
1,1390918.4,436867.53,1827785.9,954050.9,1417995.7051166857,1363841.0448833143
2,1390922.9,436868.34,1827791.2,954054.5,1418000.2554759576,1363845.4945240424
3,1390927.5,436869.28,1827796.8,954058.25,1418004.9385828096,1363850.0614171904
4,1390930.8,436870.06,1827800.8,954060.7,1418008.2370051863,1363853.2629948137
5,1390934.5,436870.3,1827804.8,954064.2,1418012.0025003469,1363856.9974996531
6,1390938.5,436870.62,1827809.1,954067.9,1418016.0218692974,1363860.9781307026
7,1390943.5,436871.2,1827814.8,954072.3,1418021.0567334087,1363865.9432665913
8,1390949.0,436872.03,1827821.0,954077.0,1418026.6090295755,1363871.3909704245
9,1390954.0,436869.97,1827824.0,954084.0,1418031.481194501,1363876.518805499
10,1390960.1,436869.56,1827829.8,954090.56,1418037.581014865,1363882.668985135
11,1390964.2,436868.7,1827833.0,954095.56,1418041.6517818032,1363886.8482181968
12,1390972.5,436867.22,1827839.8,954105.25,1418049.8107477352,1363895.1892522648
13,1390979.5,436866.9,1827846.4,954112.6,1418056.7913787845,1363902.2086212155
14,1390986.8,436866.7,1827853.5,954120.06,1418064.027820519,1363909.472179481
15,1390995.0,436867.22,1827862.2,954127.75,1418072.3107477352,1363917.6892522648
16,1391004.8,436866.2,1827871.0,954138.56,1418081.996830198,1363927.503169802
17,1391015.2,436865.16,1827880.4,954150.1,1418092.4329126608,1363938.0670873392
18,1391024.6,436865.62,1827890.2,954159.0,1418101.8369660866,1363947.4130339134
19,1391035.5,436866.9,1827902.4,954168.6,1418112.7913787845,1363958.2086212155
20,1391046.6,436866.78,1827913.4,954179.9,1418123.9086312042,1363969.3413687958
21,1391058.8,436865.16,1827923.9,954193.6,1418135.9329126608,1363981.5670873392
22,1391073.1,436863.6,1827936.8,954209.5,1418150.2110679073,1363996.0389320927
23,1391089.1,436862.1,1827951.2,954227.0,1418166.1180969442,1364012.1319030558
24,1391105.4,436859.66,1827965.0,954245.75,1418182.217019129,1364028.532980871
25,1391121.5,436859.88,1827981.4,954261.6,1418198.3555773944,1364044.6444226056
26,1391137.8,436857.2,1827995.0,954280.56,1418214.4390044187,1364061.0609955813
27,1391155.8,436856.2,1828012.0,954299.56,1418232.3770237765,1364079.1229762235
28,1391175.8,436854.38,1828030.1,954321.4,1418252.2646838627,1364099.2353161373
29,1391197.6,436852.84,1828050.5,954344.75,1418274.0447760043,1364121.2052239957
30,1391219.1,436850.28,1828069.4,954368.9,1418295.3859506089,1364142.8640493911
31,1391241.2,436849.66,1828090.9,954391.6,1418317.4722127076,1364165.0277872924
32,1391262.5,436850.34,1828112.9,954412.1,1418338.764824399,1364186.235175601
33,1391286.6,436846.84,1828133.5,954439.75,1418362.6728921516,1364210.5771078484
34,1391310.8,436844.62,1828155.4,954466.1,1418386.6603726018,1364234.8396273982
35,1391336.4,436841.2,1828177.5,954495.2,1418412.0723141443,1364260.6776858557
36,1391361.9,436838.6,1828200.5,954523.25,1418437.4115518539,1364286.3384481461
37,1391387.6,436837.7,1828225.2,954549.94,1418463.105381897,1364312.144618103
38,1391416.2,436834.8,1828251.0,954581.44,1418491.5521875508,1364340.9478124492
39,1391440.6,436832.72,1828273.4,954607.9,1418515.7974155813,1364365.4525844187
40,1391469.0,436831.06,1828300.0,954637.94,1418544.0697601428,1364393.9302398572
41,1391496.2,436832.94,1828329.2,954663.3,1418571.4359738468,1364421.0640261532
42,1391527.4,436831.28,1828358.6,954696.1,1418602.4583184083,1364452.2916815917
43,1391557.4,436832.0,1828389.4,954725.4,1418632.5028669948,1364482.2471330052
44,1391590.8,436828.5,1828419.2,954762.25,1418665.6609347472,1364515.8390652528
45,1391624.9,436825.56,1828450.5,954799.3,1418699.6038666111,1364550.1461333889
46,1391657.0,436823.47,1828480.5,954833.5,1418731.5990946416,1364582.4009053584
47,1391688.5,436822.56,1828511.0,954865.94,1418763.0429246847,1364613.9570753153
48,1391723.1,436821.25,1828544.4,954901.9,1418797.5865750918,1364648.6634249082
49,1391760.0,436817.7,1828577.8,954942.3,1418834.2407690543,1364685.7592309457
50,1391793.9,436817.0,1828610.9,954976.9,1418868.0731573626,1364719.6768426374
51,1391830.8,436815.1,1828645.9,955015.6,1418904.8300067636,1364756.6699932364
52,1391868.8,436812.66,1828681.4,955056.1,1418942.6789289485,1364794.8210710515
53,1391910.9,436808.6,1828719.5,955102.25,1418984.5521325897,1364837.1978674103
54,1391950.5,436805.72,1828756.2,955144.75,1419023.9989382436,1364877.0010617564
55,1391987.6,436804.47,1828792.1,955183.1,1419061.0464624409,1364914.2035375591
56,1392027.9,436802.78,1828830.6,955225.1,1419101.1918701073,1364954.5581298927
57,1392072.9,436799.62,1828872.5,955273.25,1419145.9962437055,1364999.7537562945
58,1392116.2,436795.1,1828911.4,955321.1,1419189.090393921,1365043.409606079
59,1392158.6,436792.6,1828951.2,955366.0,1419231.3104423154,1365085.9395576846
60,1392204.9,436790.03,1828994.9,955414.9,1419277.40161692,1365132.34838308
61,1392251.2,436784.97,1829036.2,955466.25,1419323.4628399191,1365179.0371600809
62,1392299.0,436779.2,1829078.2,955519.8,1419370.8545143318,1365227.1454856682
63,1392351.9,436774.7,1829126.5,955577.2,1419423.4506014423,1365280.2993985577
64,1392407.0,436766.66,1829173.6,955640.4,1419478.07781941,1365335.92218059
65,1392460.1,436763.4,1829223.5,955696.75,1419531.001382323,1365389.248617677
