timestep,mean,std,mean_plus_std,mean_minus_std,ci_upper,ci_lower
0,1310149.4,430806.47,1740955.9,879342.9,1336851.0365708894,1283447.7134291106
1,1310158.8,430806.4,1740965.1,879352.4,1336860.4076970993,1283457.0923029007
2,1310167.9,430805.78,1740973.6,879362.1,1336869.493959198,1283466.256040802
3,1310175.6,430806.0,1740981.6,879369.6,1336877.2575174633,1283473.9924825367
4,1310186.0,430807.44,1740993.5,879378.56,1336887.7216146365,1283484.2783853635
5,1310196.1,430808.4,1741004.5,879387.75,1336897.9066583836,1283494.3433416164
6,1310204.9,430809.56,1741014.5,879395.3,1336906.728323501,1283503.021676499
7,1310215.9,430810.25,1741026.1,879405.6,1336917.7709351925,1283513.9790648075
8,1310227.2,430809.22,1741036.5,879418.0,1336929.0820176553,1283525.4179823447
9,1310239.1,430808.28,1741047.4,879430.9,1336940.8989108033,1283537.3510891967
10,1310251.9,430809.44,1741061.2,879442.44,1336953.7205759208,1283550.0294240792
11,1310264.1,430810.28,1741074.4,879453.9,1336966.0228720875,1283562.2271279125
12,1310275.5,430812.53,1741088.0,879463.0,1336977.5373285324,1283573.4626714676
13,1310287.8,430814.47,1741102.2,879473.25,1336989.9074160266,1283585.5925839734
14,1310303.1,430815.7,1741118.8,879487.44,1337005.357954934,1283600.892045066
15,1310318.0,430817.0,1741135.0,879501.0,1337020.314304527,1283615.685695473
16,1310335.2,430818.06,1741153.2,879517.2,1337037.6301589592,1283632.8698410408
17,1310350.1,430820.16,1741170.2,879530.0,1337052.6349309287,1283647.6150690713
18,1310366.9,430823.0,1741189.9,879543.9,1337069.5611883798,1283664.1888116202
19,1310384.2,430823.66,1741207.9,879560.6,1337086.976863176,1283681.523136824
20,1310401.9,430824.25,1741226.1,879577.6,1337104.6386641825,1283699.1113358175
21,1310421.4,430823.25,1741244.6,879598.1,1337124.0766835404,1283718.6733164596
22,1310441.1,430821.44,1741262.5,879619.7,1337143.7143436265,1283738.5356563735
23,1310461.9,430820.72,1741282.6,879641.1,1337164.4197950398,1283759.3302049602
24,1310482.9,430819.72,1741302.6,879663.1,1337185.3578143977,1283780.3921856023
25,1310505.0,430818.16,1741323.1,879686.9,1337207.3859696444,1283802.6140303556
26,1310529.5,430819.2,1741348.8,879710.3,1337231.9498871816,1283827.0501128184
27,1310552.2,430819.1,1741371.4,879733.1,1337254.6940764964,1283849.8059235036
28,1310577.4,430819.8,1741397.2,879757.56,1337279.863625083,1283874.886374917
29,1310606.5,430819.84,1741426.4,879786.6,1337308.990561978,1283904.009438022
30,1310636.1,430819.22,1741455.4,879816.9,1337338.5768240767,1283933.6731759233
31,1310667.0,430818.22,1741485.2,879848.75,1337369.3898434346,1283964.6101565654
32,1310699.0,430817.22,1741516.2,879881.75,1337401.3278627924,1283996.6721372076
33,1310731.8,430816.9,1741548.6,879914.9,1337434.0584938417,1284029.4415061583
34,1310765.2,430817.44,1741582.8,879947.8,1337467.591421058,1284062.908578942
35,1310800.5,430816.66,1741617.1,879983.9,1337502.792998681,1284098.207001319
36,1310835.8,430815.28,1741651.0,880020.5,1337537.9577752983,1284133.5422247017
37,1310870.5,430816.38,1741686.9,880054.1,1337572.7755666256,1284168.2244333744
38,1310904.6,430812.78,1741717.4,880091.9,1337606.6778236928,1284202.5721763072
39,1310940.9,430808.0,1741748.9,880132.9,1337642.6314787476,1284239.1185212524
40,1310977.6,430803.34,1741781.0,880174.25,1337679.0928813827,1284276.1571186173
41,1311012.9,430800.56,1741813.5,880212.3,1337714.1704977218,1284311.5795022782
42,1311048.6,430795.9,1741844.5,880252.75,1337749.6319003568,1284347.6180996432
43,1311083.5,430788.97,1741872.5,880294.5,1337784.076909652,1284382.923090348
44,1311118.0,430785.16,1741903.1,880332.9,1337818.3406084538,1284417.6593915462
45,1311153.8,430781.22,1741935.0,880372.5,1337853.8465596754,1284453.6534403246
46,1311191.0,430771.25,1741962.2,880419.75,1337890.478690149,1284491.521309851
47,1311222.5,430772.03,1741994.5,880450.5,1337922.0271125257,1284522.9728874743
48,1311262.1,430767.78,1742029.9,880494.4,1337961.3886947967,1284562.8613052033
