timestep,mean,std,mean_plus_std,mean_minus_std,ci_upper,ci_lower
0,1918.4706,23.954954,1942.4255,1894.5156,1923.165752067566,1913.775410041809
1,2505.007,50.733585,2555.7407,2454.2734,2514.9508628082276,2495.0632973480224
2,3099.8647,85.19884,3185.0635,3014.666,3116.5637182006835,3083.1657739868165
3,3705.2158,123.09252,3828.3083,3582.1233,3729.341954559326,3681.089686065674
4,4322.9155,162.18144,4485.097,4160.734,4354.7030900268555,4291.1279646606445
5,4951.948,199.0959,5151.044,4752.8525,4990.971038879395,4912.925445495605
6,5588.375,239.71767,5828.093,5348.657,5635.359662658691,5541.390337341309
7,6239.448,278.4435,6517.8916,5961.005,6294.023170532227,6184.873313842773
8,6901.9287,317.0307,7218.9595,6584.898,6964.066728271484,6839.790693603516
9,7578.56,355.12598,7933.686,7223.434,7648.16475,7508.9553671875
10,8268.356,395.63644,8663.993,7872.72,8345.901188354492,8190.811702270508
11,8971.085,434.4498,9405.535,8536.635,9056.23712145996,8885.93280041504
12,9692.077,474.86163,10166.938,9217.216,9785.150028564452,9599.004268310548
13,10426.313,516.23627,10942.55,9910.077,10527.49578491211,10325.13116821289
14,11179.685,558.1357,11737.82,10621.549,11289.07916381836,11070.28997680664
15,11951.155,597.60675,12548.762,11353.549,12068.286196533203,11834.024350341797
16,12736.515,639.4303,13375.945,12097.084,12861.842986816406,12611.186310058594
17,13544.263,683.2176,14227.48,12861.045,13678.173343017577,13410.352047607423
18,14368.517,728.3719,15096.889,13640.145,14511.277491455077,14225.755711669923
19,15212.237,770.4928,15982.73,14441.744,15363.253893066407,15061.220716308593
20,16075.724,813.74713,16889.47,15261.977,16235.21807055664,15916.22919506836
21,16959.242,857.2197,17816.46,16102.022,17127.25725390625,16791.22712109375
22,17865.049,901.167,18766.215,16963.883,18041.67755859375,17688.42009765625
23,18792.709,949.7262,19742.436,17842.982,18978.855318847658,18606.562649902342
24,19738.812,995.068,20733.88,18743.744,19933.845826660156,19543.779173339844
25,20710.63,1040.9163,21751.547,19669.715,20914.650446289063,20506.611272460937
26,21702.252,1089.0813,22791.334,20613.17,21915.711887695314,21488.792018554686
27,22719.062,1133.9736,23853.035,21585.09,22941.32133203125,22496.80366796875
28,23758.943,1181.752,24940.695,22577.191,23990.5667421875,23527.3199765625
29,24824.654,1227.1519,26051.807,23597.502,25065.176060546873,24584.132533203127
30,25915.133,1276.9758,27192.11,24638.156,26165.420075195314,25664.845549804686
31,27031.5,1324.5508,28356.05,25706.95,27291.111953125,26771.888046875
32,28174.318,1372.852,29547.17,26801.467,28443.397361328123,27905.239357421877
33,29345.137,1422.9004,30768.037,27922.236,29624.0251953125,29066.2482421875
34,30542.11,1472.3627,32014.473,29069.746,30830.692458496094,30253.526291503906
35,31767.225,1520.6488,33287.875,30246.576,32065.271774902343,31469.177443847657
36,33020.656,1570.7382,34591.395,31449.918,33328.52092919922,32712.791570800782
37,34301.35,1622.9506,35924.3,32678.4,34619.449872558595,33983.253252441405
38,35613.207,1673.5739,37286.78,33939.633,35941.227506347655,35285.186556152345
39,36954.156,1724.2197,38678.375,35229.938,37292.10331640625,36616.20918359375
40,38326.934,1773.7698,40100.703,36553.164,38674.592469726565,37979.274717773435
41,39729.945,1826.5267,41556.473,37903.418,40087.944552246096,39371.946072753904
42,41165.51,1878.2815,43043.793,39287.23,41533.65489160156,40797.36854589844
43,42634.625,1929.386,44564.01,40705.24,43012.78465332031,42256.46534667969
44,44136.86,1978.2081,46115.066,42158.652,44524.588168457034,43749.130581542966
45,45672.926,2030.8208,47703.746,43642.105,46070.96665820313,45274.88490429687
46,47244.71,2082.4014,49327.113,45162.31,47652.86160546875,46836.56026953125
47,48853.195,2137.8804,50991.074,46715.316,49272.21986523437,48434.17075976563
48,50496.754,2192.7546,52689.508,48304.0,50926.533815429684,50066.973997070316
49,52178.47,2250.107,54428.574,49928.363,52619.48970898437,51737.44779101563
50,53899.3,2305.319,56204.62,51593.98,54351.143323242184,53447.458239257816
51,55659.496,2363.9846,58023.48,53295.51,56122.83707910156,55196.15510839844
52,57459.613,2422.284,59881.9,55037.33,57934.38093261719,56984.84562988281
53,59303.164,2481.6768,61784.84,56821.49,59789.57270703125,58816.75541796875
54,61191.305,2543.224,63734.527,58648.082,61689.776615234376,60692.832759765624
55,63123.19,2607.9966,65731.19,60515.195,63634.358736328126,62612.024076171874
56,65102.82,2672.0415,67774.86,62430.777,65626.54044726562,64579.10017773438
57,67129.48,2741.159,69870.63,64388.316,67666.74371386718,66592.20941113282
58,69208.0,2808.3894,72016.39,66399.61,69758.44432324219,68657.55567675781
59,71341.19,2877.145,74218.336,68464.04,71905.10792382812,70777.26707617188
60,73523.14,2952.2861,76475.43,70570.85,74101.78870703126,72944.49254296874
61,75766.95,3028.5745,78795.53,72738.375,76360.55371972657,75173.35253027343
62,78068.97,3107.8306,81176.8,74961.14,78678.10354101562,77459.83395898438
63,80432.445,3189.609,83622.055,77242.836,81057.60865429687,79807.28197070313
64,82864.63,3278.5671,86143.2,79586.06,83507.23197167969,82222.03365332031
65,85366.38,3368.929,88735.31,81997.45,86026.69288769532,84706.07273730468
66,87943.85,3462.3225,91406.17,84481.53,88622.46677441406,87265.23635058594
67,90603.56,3556.4314,94159.99,87047.13,91300.62305371094,89906.50194628906
68,93348.66,3654.9534,97003.61,89693.7,94065.02711035157,92632.28538964843
69,96184.79,3758.2275,99943.016,92426.56,96921.40166015625,95448.17646484375
70,99115.28,3869.2715,102984.555,95246.01,99873.6584609375,98356.9040390625
71,102154.78,3989.1096,106143.89,98165.67,102936.64673535156,101372.91576464844
72,105305.75,4110.159,109415.91,101195.59,106111.34119921875,104500.15880078125
73,108578.57,4233.623,112812.195,104344.945,109408.3604296875,107748.7801953125
74,111987.02,4364.779,116351.805,107622.24,112842.52008398437,111131.52679101563
75,115540.82,4502.78,120043.6,111038.04,116423.36515039063,114658.27547460937
76,119243.64,4648.641,123892.28,114595.0,120154.77428320312,118332.50696679688
77,123123.48,4802.994,127926.47,118320.484,124064.8634140625,122182.0897109375
78,127186.84,4956.379,132143.22,122230.47,128158.294015625,126215.393484375
79,131451.92,5114.5273,136566.45,126337.39,132454.369234375,130449.474515625
80,135945.06,5272.295,141217.36,130672.766,136978.4323046875,134911.6926953125
81,140680.16,5433.5815,146113.73,135246.58,141745.1382324219,139615.1742675781
82,145686.38,5598.7476,151285.12,140087.62,146783.72952148438,144589.02047851562
83,150988.2,5762.215,156750.42,145225.98,152117.597234375,149858.809015625
84,156619.66,5934.413,162554.06,150685.25,157782.80121484376,155456.51128515624
85,162627.38,6093.3564,168720.73,156534.02,163821.67286328124,161433.07713671876
86,169051.78,6247.9595,175299.73,162803.83,170276.38130664063,167827.18119335937
87,175947.6,6391.5234,182339.12,169556.06,177200.33234375,174694.85515625
88,183382.73,6526.3774,189909.11,176856.36,184661.90435351562,182103.56439648438
89,191419.19,6650.6567,198069.84,184768.53,192722.71622070312,190115.65877929688
90,200178.28,6779.669,206957.95,193398.61,201507.09636328125,198849.46613671875
91,209751.34,6926.638,216677.98,202824.7,211108.96483398438,208393.72266601562
92,220334.9,7126.5054,227461.4,213208.4,221731.70130273438,218938.11119726562
93,232121.0,7429.2725,239550.27,224691.73,233577.13740234374,230664.86259765626
94,245429.16,7952.798,253381.95,237476.36,246987.90462890625,243870.40787109375
95,260697.86,8847.755,269545.62,251850.11,262432.01933203125,258963.69941796875
96,278523.4,10362.563,288885.97,268160.84,280554.46869140625,276492.34380859375
97,299801.1,12806.183,312607.28,286994.9,302311.1055429687,297291.0819570313
98,325772.38,16688.357,342460.72,309084.03,329043.2930546875,322501.4569453125
99,357865.1,22644.654,380509.75,335220.44,362303.4459921875,353426.7415078125
