timestep,mean,std,mean_plus_std,mean_minus_std,ci_upper,ci_lower
0,1482.1841,23.478132,1505.6622,1458.7059,1486.7857959518433,1477.5823681106567
1,2334.791,22.516035,2357.3071,2312.275,2339.2041585006714,2330.3778727493286
2,3195.1006,34.834843,3229.9355,3160.2656,3201.9282151031493,3188.2729567718507
3,4063.8408,52.451168,4116.292,4011.3896,4074.1212492523196,4053.5603913726804
4,4940.22,70.97037,5011.1904,4869.25,4954.130406860351,4926.310022827149
5,5825.064,88.95033,5914.014,5736.114,5842.498230041504,5807.629699645996
6,6720.8,107.14645,6827.9463,6613.6533,6741.800508148193,6699.799101226807
7,7626.632,126.124855,7752.757,7500.507,7651.352307525634,7601.911364349366
8,8541.97,143.35901,8685.329,8398.61,8570.068092285157,8513.871360839843
9,9466.765,161.33296,9628.098,9305.432,9498.385908996583,9435.143387878417
10,10402.412,179.45912,10581.871,10222.953,10437.586097229005,10367.238121520995
11,11347.193,198.46841,11545.662,11148.725,11386.093168579102,11308.293550170898
12,12301.879,216.62804,12518.507,12085.251,12344.338001403808,12259.419811096192
13,13265.764,235.66982,13501.434,13030.094,13311.954955627441,13219.572388122559
14,14240.107,255.26863,14495.376,13984.839,14290.140073547363,14190.074770202637
15,15224.817,275.50293,15500.32,14949.314,15278.81595703125,15170.81880859375
16,16217.6,297.73486,16515.334,15919.865,16275.955642578125,16159.243576171875
17,17222.994,321.67062,17544.664,16901.324,17286.041582885744,17159.946698364256
18,18240.29,346.2036,18586.492,17894.086,18308.144970703124,18172.433154296876
19,19270.39,373.96262,19644.354,18896.428,19343.68729772949,19197.09395227051
20,20311.443,404.0356,20715.479,19907.408,20390.63433972168,20232.25237902832
21,21369.018,432.79086,21801.809,20936.227,21453.844587280273,21284.190568969727
22,22440.47,465.6152,22906.086,21974.855,22531.731283081055,22349.210123168945
23,23525.773,503.3066,24029.08,23022.467,23624.421533081055,23427.125341918945
24,24628.012,540.59686,25168.61,24087.414,24733.968703857423,24522.054733642577
25,25746.328,587.05774,26333.387,25159.27,25861.39144189453,25631.26480810547
26,26883.307,633.87573,27517.182,26249.432,27007.546284179687,26759.066997070313
27,28037.742,685.16693,28722.908,27352.576,28172.034906005858,27903.449468994142
28,29213.164,737.2962,29950.46,28475.867,29357.674118408202,29068.654006591798
29,30410.08,789.36273,31199.443,29620.717,30564.795173583985,30255.364982666015
30,31624.797,853.53455,32478.332,30771.262,31792.089645996093,31457.504104003907
31,32865.504,915.473,33780.977,31950.031,33044.93661865234,32686.071193847656
32,34130.65,973.49634,35104.145,33157.152,34321.45371972656,33939.84315527344
33,35417.37,1038.4823,36455.85,34378.89,35620.91362451172,35213.82856298828
34,36730.977,1103.4436,37834.42,35627.53,36947.251508789064,36514.701616210936
35,38068.66,1174.2599,39242.92,36894.4,38298.81509423828,37838.50521826172
36,39439.668,1234.2495,40673.918,38205.418,39681.58087304688,39197.75506445312
37,40833.973,1295.637,42129.61,39538.336,41087.91750097656,40580.02781152344
38,42263.984,1353.196,43617.18,40910.79,42529.210799804685,41998.757950195315
39,43722.035,1412.5543,45134.59,42309.48,43998.89580322266,43445.17450927734
40,45215.06,1465.0616,46680.12,43749.996,45502.21067626953,44927.90651123047
41,46742.754,1518.8285,48261.582,45223.926,47040.444290527346,46445.063521972654
42,48304.227,1573.1204,49877.348,46731.105,48612.558153320315,47995.894971679685
43,49902.18,1622.9558,51525.137,48279.223,50220.279026367185,49584.080348632815
44,51538.324,1669.9109,53208.234,49868.414,51865.62675292969,51211.02168457031
45,53211.875,1715.4663,54927.34,51496.41,53548.10639648438,52875.64360351562
46,54926.816,1755.6199,56682.438,53171.195,55270.91790136719,54582.71491113281
47,56680.074,1795.6049,58475.68,54884.47,57032.012770996094,56328.135666503906
48,58474.785,1833.8945,60308.68,56640.89,58834.228484375,58115.341828125
49,60314.12,1872.3959,62186.516,58441.727,60681.11068505859,59947.13150244141
50,62194.06,1912.7269,64106.785,60281.332,62568.953071777345,61819.164115722655
51,64121.137,1949.2612,66070.4,62171.875,64503.191919921876,63739.081517578124
52,66093.08,1989.0011,68082.08,64104.08,66482.92234033204,65703.23390966796
53,68113.99,2027.0143,70141.01,66086.98,68511.28698681641,67716.69738818359
54,70185.7,2068.9048,72254.61,68116.8,70591.20846289063,69780.19778710937
55,72309.41,2111.5232,74420.93,70197.88,72723.26479589843,71895.54770410157
56,74488.195,2155.0781,76643.27,72333.12,74910.590625,74065.8
57,76725.08,2200.3257,78925.41,74524.75,77156.34195898437,76293.81429101563
58,79019.95,2247.9382,81267.89,76772.016,79460.54901855468,78579.35723144532
59,81377.55,2294.188,83671.734,79083.36,81827.20772070313,80927.88602929687
60,83801.95,2340.0693,86142.02,81461.88,84260.60671484374,83343.29953515626
