timestep,mean,std,mean_plus_std,mean_minus_std,ci_upper,ci_lower
0,2490.0632,44.882275,2534.9456,2445.181,2498.8601582489014,2481.2663065948486
1,2500.8757,45.491455,2546.3672,2455.3843,2509.7920576171873,2491.9594072265627
2,2513.3652,44.378345,2557.7437,2468.9868,2522.0633900909424,2504.6670786590576
3,2523.8767,44.177505,2568.0542,2479.6992,2532.5355000610352,2515.2179179077148
4,2537.3513,44.402195,2581.7534,2492.9492,2546.054148574829,2528.648488143921
5,2548.0615,47.07412,2595.1357,2500.9873,2557.2880508728026,2538.8349960021974
6,2558.1926,45.10388,2603.2964,2513.0889,2567.032987792969,2549.352266113281
7,2568.1526,44.052708,2612.2053,2524.0999,2576.7869185943605,2559.5182571868895
8,2580.0264,45.571266,2625.5977,2534.455,2588.958335357666,2571.094399017334
9,2591.3296,43.256596,2634.5862,2548.073,2599.8078825836183,2582.8512971038817
10,2602.9788,42.205097,2645.1838,2560.7737,2611.2509588165285,2594.7065607147215
11,2615.0125,42.722023,2657.7344,2572.2905,2623.3859676818847,2606.6389346618653
12,2628.086,42.771023,2670.857,2585.315,2636.4690579681396,2619.7028170318604
13,2640.1826,39.74552,2679.9282,2600.437,2647.9727394104,2632.3924949646
14,2655.2966,42.48741,2697.784,2612.8093,2663.6241635131837,2646.9690982055663
15,2670.5388,41.78798,2712.327,2628.7507,2678.7292622680666,2662.3483744506834
16,2686.6409,42.512745,2729.1536,2644.1282,2694.9733671417234,2678.3083711395266
17,2703.554,41.871975,2745.426,2661.682,2711.7608621673585,2695.3470479888915
18,2717.7278,47.250378,2764.9783,2670.4773,2726.988857223511,2708.466709182739
19,2735.368,45.661755,2781.0298,2689.706,2744.317623825073,2726.418216018677
20,2754.2156,47.645374,2801.8608,2706.5703,2763.5540695343016,2744.8770828094484
21,2771.7615,50.096394,2821.858,2721.665,2781.5803677520753,2761.9425814666747
22,2790.0132,48.01384,2838.027,2741.9993,2799.4238961791993,2780.6024710083007
23,2808.0996,53.56614,2861.6658,2754.5334,2818.5985726623535,2797.6006460876465
24,2830.1755,56.15965,2886.3352,2774.0159,2841.182828292847,2819.168245925903
25,2849.3315,58.775127,2908.1067,2790.5564,2860.851467941284,2837.811617996216
26,2870.377,57.71187,2928.0889,2812.665,2881.688479309082,2859.065426940918
27,2890.1907,61.923386,2952.114,2828.2673,2902.327657409668,2878.053690246582
28,2910.637,60.892406,2971.5293,2849.7446,2922.571874557495,2898.702051223755
29,2932.005,66.8372,2998.842,2865.1677,2945.104973297119,2918.904792327881
30,2954.683,65.8974,3020.5806,2888.7856,2967.5989958496093,2941.7672150878907
31,2975.8281,65.87928,3041.7075,2909.9487,2988.740463897705,2962.915786102295
32,2995.3472,71.691734,3067.0388,2923.6555,3009.398747894287,2981.295588043213
33,3016.5784,69.11472,3085.693,2947.4636,3030.124854888916,3003.031883392334
34,3039.5212,69.10534,3108.6265,2970.416,3053.0658866882322,3025.9765937805178
35,3058.1309,68.35226,3126.4832,2989.7786,3071.527901702881,3044.733817047119
36,3081.5007,69.75897,3151.2598,3011.7417,3095.173490966797,3067.827973876953
37,3104.7312,72.025345,3176.7566,3032.7058,3118.848168762207,3090.614233581543
38,3124.2769,76.355385,3200.6323,3047.9214,3139.2425108947755,3109.3112000427245
39,3149.0247,72.588135,3221.6128,3076.4365,3163.2519326171873,3134.7973837890627
40,3172.0127,70.83537,3242.8481,3101.1772,3185.8964284057615,3158.1289622192385
41,3193.8804,72.89039,3266.7708,3120.99,3208.166887237549,3179.593854949951
42,3221.7485,71.23106,3292.9795,3150.5176,3235.709822174072,3207.787248138428
43,3244.923,73.61629,3318.5393,3171.307,3259.351888000488,3230.494303405762
44,3270.191,75.09591,3345.2869,3195.095,3284.9097161560057,3255.4721197814943
45,3298.0488,77.48002,3375.5288,3220.5688,3313.2349117736817,3282.8627444763183
46,3325.911,79.77651,3405.6875,3246.1343,3341.5470850524903,3310.2746922912597
47,3356.6196,79.44957,3436.069,3277.1702,3372.191744567871,3341.047513244629
48,3385.3584,80.12196,3465.4805,3305.2363,3401.0623032836916,3369.6544935913084
49,3417.8938,82.64718,3500.541,3335.2466,3434.092645843506,3401.694951812744
50,3453.392,85.07729,3538.4695,3368.3147,3470.067239349365,3436.716940338135
51,3489.7925,84.32784,3574.1204,3405.4646,3506.3207376403807,3473.2642232971193
52,3527.4487,85.199165,3612.648,3442.2495,3544.147766876221,3510.749694061279
53,3567.6147,87.069695,3654.6843,3480.5452,3584.6804062194824,3550.5490859680176
54,3609.9014,90.09199,3699.9934,3519.8093,3627.559396759033,3592.243337615967
55,3657.8025,91.45572,3749.2583,3566.3467,3675.7278111572264,3639.8771693115236
56,3706.7397,92.19499,3798.9348,3614.5447,3724.809964538574,3688.669527648926
57,3761.2024,92.65079,3853.8533,3668.5515,3779.361946899414,3743.042838256836
58,3818.963,94.020424,3912.9834,3724.9424,3837.3908937072756,3800.5348875427244
59,3881.6006,92.84797,3974.4485,3788.7527,3899.7987878723143,3863.4023840026857
60,3947.7788,93.612274,4041.391,3854.1665,3966.126814331055,3929.430802856445
61,4020.9802,92.389824,4113.37,3928.5903,4039.0886300964357,4002.8718191223143
62,4098.8613,92.96012,4191.8213,4005.9011,4117.081511871338,4080.641144378662
63,4182.28,94.11613,4276.396,4088.1636,4200.726546051025,4163.833024261475
64,4271.072,91.59592,4362.6675,4179.476,4289.024577026367,4253.118977661133
65,4364.6445,90.976654,4455.621,4273.668,4382.475955444336,4346.813107055664
66,4468.2827,88.56829,4556.851,4379.7144,4485.642099822998,4450.923329864502
67,4582.4624,87.64861,4670.111,4494.814,4599.641530487061,4565.283274200439
68,4702.78,87.32128,4790.101,4615.4585,4719.894756317139,4685.664813995361
69,4833.0073,85.28326,4918.2905,4747.724,4849.722842498779,4816.291805938721
70,4973.662,85.08636,5058.7485,4888.5757,4990.339035369873,4956.985183380127
71,5124.167,82.9614,5207.1284,5041.2056,5140.427427154541,5107.906557220459
72,5287.59,84.41478,5372.0044,5203.1753,5304.135140563965,5271.044546936035
73,5451.9307,89.383255,5541.314,5362.5474,5469.449782043457,5434.411546081543
74,5636.2905,92.50927,5728.8,5543.7812,5654.422344207764,5618.158710479736
75,5832.4395,100.527466,5932.967,5731.912,5852.142836425781,5812.736069824219
76,6041.9014,105.35352,6147.255,5936.548,6062.550657745362,6021.252076629638
