timestep,mean_diff,std_diff,mean_diff_plus_std,mean_diff_minus_std
0,-127.24189999999999,47.72480150800068,-79.5170984919993,-174.96670150800065
1,-126.42180000000008,46.49617230086659,-79.92562769913349,-172.91797230086667
2,-125.52179999999998,46.60163298428732,-78.92016701571266,-172.12343298428732
3,-122.89179999999988,48.57496599778614,-74.31683400221374,-171.466765997786
4,-121.04850000000033,50.84050901086913,-70.2079909891312,-171.88900901086947
5,-119.11319999999978,49.290838862764645,-69.82236113723513,-168.40403886276442
6,-120.28929999999991,47.203501835361635,-73.08579816463828,-167.49280183536155
7,-119.60890000000018,49.10775846830971,-70.50114153169046,-168.7166584683099
8,-118.03450000000021,52.09200291453717,-65.94249708546303,-170.12650291453738
9,-115.17070000000012,50.927063213401574,-64.24363678659856,-166.0977632134017
10,-119.61520000000019,50.18389994829517,-69.43130005170502,-169.79909994829535
11,-119.71749999999975,53.63175193853451,-66.08574806146524,-173.34925193853425
12,-118.7527,53.861622994548334,-64.89107700545168,-172.61432299454833
13,-119.4702000000002,56.0176384823209,-63.45256151767931,-175.4878384823211
14,-121.00849999999991,57.040041069360946,-63.96845893063897,-178.04854106936085
15,-126.34349999999995,60.00034364308273,-66.34315635691722,-186.34384364308266
16,-127.89350000000013,60.63772107222754,-67.25577892777258,-188.53122107222768
17,-127.91949999999997,61.46346092665244,-66.45603907334754,-189.3829609266524
18,-133.76609999999982,62.797064886219005,-70.96903511378082,-196.56316488621883
19,-135.19700000000012,62.74821163666701,-72.44878836333311,-197.94521163666712
20,-136.3525999999997,66.85050102689915,-69.50209897310056,-203.20310102689888
21,-135.0544,69.83833025155101,-65.21606974844897,-204.892730251551
22,-137.9447,71.52764039865039,-66.41705960134962,-209.4723403986504
23,-140.22780000000012,72.54704476435467,-67.68075523564545,-212.77484476435478
24,-141.04829999999993,70.64840884097266,-70.39989115902726,-211.69670884097258
25,-141.59940000000006,71.59676601610246,-70.0026339838976,-213.19616601610252
26,-143.33719999999994,73.95348877340538,-69.38371122659456,-217.29068877340532
27,-139.9472999999998,74.34396674805592,-65.6033332519439,-214.29126674805573
28,-139.36239999999998,74.48252186941352,-64.87987813058646,-213.8449218694135
29,-136.04239999999982,75.40294657392707,-60.63945342607275,-211.44534657392688
30,-134.9083999999998,76.17743801110757,-58.73096198889223,-211.08583801110737
31,-134.2456000000002,77.44659165463707,-56.79900834536312,-211.69219165463727
32,-131.47490000000016,79.30635088627272,-52.16854911372744,-210.7812508862729
33,-128.39699999999993,80.19848243122541,-48.19851756877452,-208.59548243122535
34,-124.73750000000018,82.03752406779351,-42.69997593220667,-206.7750240677937
35,-122.72530000000006,82.37402737985805,-40.35127262014201,-205.0993273798581
36,-116.58059999999978,81.81601673075266,-34.76458326924711,-198.39661673075244
37,-114.69799999999987,83.34279891642277,-31.3552010835771,-198.04079891642263
38,-108.8436999999999,86.16872084405644,-22.67497915594346,-195.01242084405635
39,-102.70580000000018,85.84190773314643,-16.863892266853753,-188.5477077331466
40,-100.70839999999998,87.2115192694457,-13.496880730554281,-187.9199192694457
41,-93.6531,83.86958742833124,-9.783512571668751,-177.52268742833124
42,-84.78909999999996,88.4925748939452,3.7034748939452413,-173.28167489394517
43,-77.57789999999977,88.0176294993849,10.439729499385123,-165.59552949938467
44,-70.4339,86.93694146606163,16.50304146606163,-157.37084146606162
45,-60.49630000000025,88.81994891672831,28.32364891672806,-149.31624891672857
46,-53.694400000000314,90.99879985784085,37.30439985784054,-144.69319985784117
47,-42.01250000000027,88.41652591302883,46.40402591302856,-130.4290259130291
48,-33.16080000000011,92.5977628107724,59.436962810772286,-125.7585628107725
49,-20.671900000000278,95.44835586026473,74.77645586026445,-116.120255860265
50,-7.676500000000033,95.764442355556,88.08794235555597,-103.44094235555603
51,7.759399999999914,95.21473538834208,102.97413538834199,-87.45533538834216
52,21.884599999999864,97.29089121121515,119.17549121121502,-75.40629121121529
53,34.260099999999966,98.06388836996683,132.3239883699668,-63.80378836996687
54,57.66220000000021,100.13419423326967,157.7963942332699,-42.471994233269456
55,67.48820000000023,101.40340517295844,168.8916051729587,-33.91520517295821
56,92.0333999999998,103.22091926054308,195.2543192605429,-11.187519260543283
57,110.91679999999997,103.13521526820993,214.0520152682099,7.7815847317900335
58,130.67500000000018,108.77229728390645,239.44729728390664,21.902702716093728
59,154.5378999999998,112.97741515512072,267.51531515512056,41.560484844879085
60,181.89299999999957,112.78252402461872,294.6755240246183,69.11047597538085
61,209.22669999999925,119.25391234279276,328.480612342792,89.9727876572065
62,233.35789999999997,120.91157006653674,354.2694700665367,112.44632993346323
63,269.64940000000024,125.83122764891273,395.48062764891296,143.81817235108753
64,298.8000000000002,129.7699058488012,428.56990584880134,169.030094151199
65,333.8746000000001,132.2890570278022,466.1636570278023,201.5855429721979
66,364.10259999999926,136.83791968950345,500.9405196895027,227.2646803104958
67,397.41070000000036,140.42373702205995,537.8344370220603,256.9869629779404
68,432.10239999999976,147.61510144638927,579.7175014463891,284.48729855361046
69,465.4213,152.99766878040037,618.4189687804003,312.4236312195996
70,497.96839999999975,160.4702560157271,658.4386560157268,337.49814398427264
71,520.259,167.44287839525992,687.7018783952599,352.8161216047401
72,544.8037000000004,169.60412672543583,714.4078267254363,375.19957327456456
73,559.2289999999994,182.05262323640162,741.281623236401,377.1763767635978
74,581.7695000000003,184.6549919106746,766.424491910675,397.11450808932574
75,601.2487000000001,192.70808900413599,793.9567890041361,408.5406109958641
76,626.1824999999999,198.53919086270926,824.7216908627091,427.64330913729066
77,640.4719999999998,210.7238213775106,851.1958213775104,429.74817862248915
78,663.4170000000004,216.64215319451316,880.0591531945136,446.7748468054872
