timestep,mean,std,mean_plus_std,mean_minus_std,ci_upper,ci_lower
0,2370.4978,30.380892,2400.8787,2340.117,2376.4524575271607,2364.5431479415893
1,2378.4915,30.486755,2408.9783,2348.0046,2384.4668591308596,2372.5160510253904
2,2388.5986,32.041546,2420.6401,2356.5571,2394.8787758026124,2382.3184898223876
3,2399.0774,32.707584,2431.785,2366.3699,2405.488079116821,2392.666706039429
4,2410.4163,34.600044,2445.0164,2375.8162,2417.197868438721,2403.634651092529
5,2424.108,33.117577,2457.2256,2390.9902,2430.5989551696775,2417.6168651428225
6,2435.0825,32.33447,2467.417,2402.748,2441.4200754241942,2428.7449636383058
7,2447.3613,33.75498,2481.1162,2413.6064,2453.9773038482667,2440.7453524017333
8,2460.2805,37.59365,2497.8743,2422.6868,2467.648873138428,2452.912162017822
9,2475.2385,34.24317,2509.4817,2440.9954,2481.9501870422364,2468.5268637390136
10,2487.595,34.27443,2521.8694,2453.3206,2494.3127588500975,2480.8771825561525
11,2501.9495,37.88394,2539.8335,2464.0654,2509.3747154541015,2494.5242103271485
12,2517.0476,37.584053,2554.6316,2479.4636,2524.414081817627,2509.681133026123
13,2531.7798,40.13588,2571.9158,2491.6438,2539.646417541504,2523.913152770996
14,2547.399,41.203472,2588.6023,2506.1956,2555.4748063201905,2539.3230452423095
15,2561.3003,44.231213,2605.5315,2517.069,2569.9696106414794,2552.6309752960206
16,2577.5425,46.235737,2623.7783,2531.3066,2586.604684890747,2568.480276046753
17,2595.0627,44.871426,2639.934,2550.1914,2603.8575435638427,2586.2679447174073
18,2611.1743,48.30358,2659.4778,2562.8708,2620.6418183288574,2601.7068144836426
19,2630.0674,48.417633,2678.485,2581.6497,2639.5572388916016,2620.5775267333984
20,2649.1008,49.747612,2698.8484,2599.3533,2658.851362030029,2639.350298126221
21,2668.2144,53.431084,2721.6455,2614.7832,2678.686847869873,2657.741863067627
22,2689.1243,55.03474,2744.159,2634.0896,2699.911076705933,2678.337458450317
23,2708.0254,55.638016,2763.6633,2652.3875,2718.930441711426,2697.120339538574
24,2731.8167,55.627285,2787.4438,2676.1895,2742.7195982513426,2720.9137025299074
25,2754.3196,55.64385,2809.9634,2698.6758,2765.2257743682862,2743.4133857879638
26,2772.8816,59.08646,2831.968,2713.7952,2784.462537979126,2761.300645614624
27,2799.9155,57.810574,2857.726,2742.105,2811.2463997650148,2788.5846549224852
28,2823.1326,59.829792,2882.9624,2763.3027,2834.8592075958254,2811.4059291229246
29,2849.847,59.46969,2909.3167,2790.3772,2861.502982757568,2838.190864898682
30,2874.7588,61.90765,2936.6665,2812.851,2886.892688461304,2862.624889663696
