timestep,mean,std,mean_plus_std,mean_minus_std,ci_upper,ci_lower
0,1480.1918,23.612486,1503.8042,1456.5793,1484.819819694519,1475.563725227356
1,856.9334,21.823858,878.75726,835.10956,861.2108868637085,852.655934425354
2,864.03174,21.27347,885.30524,842.75824,868.2013383865357,859.8621381759643
3,873.38806,19.8001,893.1882,853.58795,877.268881187439,869.507241859436
4,880.7711,20.436943,901.20807,860.33417,884.7767590026856,876.7654773254394
5,889.6096,21.470066,911.0797,868.1395,893.8177520904541,885.4014861907959
6,898.5019,21.68601,920.1879,876.81586,902.7523501205444,894.2514340591431
7,908.52704,22.565865,931.0929,885.9612,912.9499480285644,904.104129119873
8,917.37244,23.833918,941.20636,893.5385,922.0438843765259,912.7009886703491
9,925.5774,23.087955,948.66534,902.48944,930.1026318511963,921.0521533050537
10,935.58514,23.562319,959.14746,912.0228,940.2033585281372,930.9669295578003
11,946.24146,24.412106,970.65356,921.82935,951.0262277679443,941.4566823883057
12,953.44257,23.66559,977.10815,929.777,958.0810216140748,948.8041102218627
13,962.9105,23.553848,986.46436,939.3567,967.5270767211914,958.2939682006836
14,974.5838,26.208,1000.7918,948.3758,979.7205693054199,969.4470332336426
15,984.5186,26.97811,1011.4967,957.5405,989.8063251571655,979.230906288147
16,995.9917,31.733122,1027.7249,964.2586,1002.2113911056518,989.7720073318482
17,1004.5343,32.285145,1036.8195,972.24915,1010.8621901397705,998.2064133758545
18,1016.9881,33.182236,1050.1703,983.80585,1023.4918163452148,1010.4843799438477
19,1026.2045,38.053497,1064.2579,988.151,1033.6629532470704,1018.7459822998047
20,1041.7883,38.30673,1080.0951,1003.4816,1049.2964488372802,1034.2802113189698
21,1056.4836,39.96901,1096.4526,1016.51465,1064.3175684204102,1048.6497167358398
22,1071.4282,43.65663,1115.0848,1027.7716,1079.9849224243164,1062.8715228881836
23,1085.46,47.74016,1133.2001,1037.7198,1094.8170326690674,1076.1028892059326
24,1101.1104,51.4351,1152.5454,1049.6753,1111.1916312713622,1091.0290718536378
25,1120.489,52.634506,1173.1235,1067.8545,1130.80537689209,1110.17265045166
26,1136.7477,55.3187,1192.0664,1081.429,1147.5901456451415,1125.9052156829835
27,1155.823,60.949306,1216.7723,1094.8737,1167.7690621185302,1143.8769339752198
28,1175.7627,60.851444,1236.6141,1114.9113,1187.6895783843995,1163.8358122406005
29,1195.3265,67.47899,1262.8055,1127.8475,1208.5524198608398,1182.1006563110352
30,1216.9989,69.63225,1286.6311,1147.3667,1230.6468219604492,1203.3509807739258
31,1241.4252,72.78036,1314.2056,1168.6448,1255.6901209411621,1227.1602208557129
32,1262.5289,72.3657,1334.8947,1190.1632,1276.7126078186036,1248.3452535095214
33,1288.8634,71.39338,1360.2568,1217.47,1302.856505645752,1274.870300994873
34,1316.4254,69.094765,1385.5201,1247.3307,1329.967988922119,1302.882841156006
35,1342.9539,63.01689,1405.9707,1279.937,1355.3051681518555,1330.6025466918945
36,1370.8589,61.64051,1432.4994,1309.2184,1382.9404267883301,1358.7773466491699
37,1400.6841,63.669624,1464.3538,1337.0144,1413.1633283996582,1388.2048356628418
38,1432.8612,60.691807,1493.553,1372.1694,1444.7568001861573,1420.9656119232177
39,1465.3531,52.68525,1518.0385,1412.6678,1475.6794582824707,1455.0268405456543
40,1496.7339,56.3397,1553.0736,1440.3942,1507.7764676818847,1485.6913057556153
41,1531.1876,52.87846,1584.066,1478.3092,1541.5518002166748,1520.8234439239502
42,1568.7714,50.29812,1619.0695,1518.4733,1578.629793548584,1558.912931060791
43,1605.5917,44.51981,1650.1115,1561.0719,1614.317557510376,1596.865792098999
44,1643.6553,46.98753,1690.6428,1596.6677,1652.8648292694093,1634.4457176055907
45,1681.2028,47.69076,1728.8936,1633.512,1690.5501480560304,1671.8553695220946
46,1719.2657,50.11869,1769.3844,1669.1471,1729.0890104064943,1709.4424837341307
47,1758.4421,47.731464,1806.1736,1710.7107,1767.7975056915284,1749.0867716522216
