timestep,mean,std,mean_plus_std,mean_minus_std,ci_upper,ci_lower
0,1536.5244,26.434092,1562.9585,1510.0903,1541.7054960098267,1531.3433321151733
1,835.78534,21.652372,857.4377,814.133,840.0292043380738,831.5414743728637
2,841.77576,22.120005,863.89575,819.65576,846.1112777481079,837.4402359237671
3,851.20654,22.794436,874.001,828.4121,855.6742523269653,846.7388336105347
4,858.97046,24.333136,883.3036,834.6373,863.7397535629273,854.2011644058227
5,866.885,25.219532,892.10455,841.66547,871.8280380401611,861.9419814910889
6,875.78455,23.775135,899.5597,852.0094,880.444472366333,871.124619430542
7,882.907,25.406567,908.31354,857.5004,887.8866694793701,877.9272953643799
8,887.8061,25.386847,913.19293,862.41925,892.781913230896,882.8302693862915
9,898.3145,25.595957,923.91046,872.71857,903.3313216934204,893.2977066268921
10,903.4659,27.582706,931.0486,875.8832,908.8720918121338,898.0596708831787
11,907.8195,29.897696,937.7172,877.9218,913.6794673690796,901.9595707168579
12,916.7581,28.288395,945.0465,888.4697,922.302643081665,911.2135922698975
13,920.93335,34.511066,955.4444,886.4223,927.6975186309814,914.1691805877686
14,930.4037,33.51547,963.9191,896.88824,936.9727183685303,923.8346546783447
15,938.7173,35.072758,973.79004,903.64453,945.5915456695557,931.8430246429443
16,947.50385,37.092697,984.59656,910.41113,954.7740138549805,940.233676574707
17,956.17114,38.834206,995.0054,917.3369,963.7826468811035,948.5596382751465
18,967.51373,42.480713,1009.99445,925.033,975.8399526367187,959.1875131835938
19,980.32776,44.925503,1025.2533,935.4023,989.133157333374,971.522360244751
20,998.16376,42.603355,1040.7671,955.5604,1006.5140149841309,989.8134996643066
21,1015.70953,48.329403,1064.039,967.3801,1025.1820966644286,1006.2369707183838
22,1033.0337,52.407284,1085.4409,980.6264,1043.30551902771,1022.7618637847901
23,1053.1082,54.40846,1107.5166,998.6997,1063.7722122039795,1042.4440963897705
24,1069.808,57.847477,1127.6555,1011.9605,1081.1460888824463,1058.4698779144287
25,1095.0142,58.65083,1153.665,1036.3633,1106.5097227020265,1083.5185976104735
26,1115.9061,62.774456,1178.6805,1053.1317,1128.2099213104248,1103.6023345489502
27,1140.5563,64.95189,1205.5082,1075.6044,1153.2868446655273,1127.8257041625977
28,1164.3317,67.90671,1232.2384,1096.4249,1177.6413797607422,1151.0219503173828
29,1190.3354,78.368965,1268.7045,1111.9664,1205.6957663879396,1174.9751320495604
30,1218.3464,74.16744,1292.5139,1144.179,1232.8832542419434,1203.8096168518066
31,1248.2554,78.73279,1326.9882,1169.5226,1263.6869975585937,1232.8237446289063
32,1275.5962,78.35649,1353.9526,1197.2397,1290.954063659668,1260.238319152832
33,1309.1256,73.42716,1382.5527,1235.6985,1323.517334136963,1294.733886566162
34,1333.9235,77.83047,1411.7539,1256.093,1349.1782334899901,1318.6686903381349
35,1367.2656,72.45174,1439.7174,1294.8138,1381.4661653442383,1353.0650846557617
36,1395.7803,73.65045,1469.4307,1322.1299,1410.2157619628906,1381.3447849121094
37,1428.53,76.45787,1504.9879,1352.0721,1443.5157719116212,1413.5442866821288
38,1454.8308,84.98953,1539.8203,1369.8413,1471.488758911133,1438.172862182617
39,1489.1283,79.47077,1568.5991,1409.6575,1504.7045671691894,1473.5520246276856
40,1520.5596,76.101585,1596.6611,1444.458,1535.475481048584,1505.643659576416
41,1553.7239,72.78645,1626.5104,1480.9374,1567.9900217895508,1539.4577321166992
42,1585.3779,75.37082,1660.7488,1510.0071,1600.1506102294923,1570.6052491455077
43,1619.7407,70.68732,1690.428,1549.0535,1633.5954367675781,1605.8860085449219
44,1655.8745,67.51934,1723.3938,1588.3552,1669.1083024597167,1642.6407209777833
45,1687.76,72.21433,1759.9744,1615.5457,1701.914018951416,1673.606000579834
46,1727.7959,67.467705,1795.2635,1660.3282,1741.019568572998,1714.572228302002
47,1766.6362,69.132355,1835.7686,1697.5039,1780.1861719970702,1753.0862889404298
48,1806.9381,72.88487,1879.823,1734.0532,1821.2235453491212,1792.6526753540038
49,1848.4658,69.21039,1917.6763,1779.2554,1862.0310563964845,1834.9005842285155
50,1893.3622,71.96409,1965.3263,1821.3981,1907.4671439514161,1879.2572212829589
51,1937.8367,68.52132,2006.358,1869.3153,1951.2668479614258,1924.4064918823242
52,1985.898,65.1148,2051.0127,1920.7832,1998.6604499206544,1973.1354485168456
53,2034.4686,69.135994,2103.6047,1965.3326,2048.019282745361,2020.9179731140136
54,2083.911,65.64265,2149.5535,2018.2682,2096.776847442627,2071.044929901123
55,2135.187,71.46699,2206.654,2063.72,2149.1945412902833,2121.1794821472167
56,2191.5742,66.600266,2258.1746,2124.9739,2204.627870788574,2178.520566711426
